pathogenid,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,name
2301504,1,0,0,0,1,1,1,0,0,golden-headed lion tamarin adenovirus
1916696,1,0,0,0,1,1,1,0,0,gorilla gorilla adenovirus
26205610,1,0,0,0,1,1,1,0,0,gorilla gorilla adenovirus b23
2301505,1,0,0,0,1,1,1,0,0,gray-bellied night monkey adenovirus
27309396,1,0,0,0,1,1,1,0,0,greater horseshoe bat adenovirus 1
27589157,1,0,0,0,1,1,1,0,0,greater mouse-eared bat adenovirus 1
27589159,1,0,0,0,1,1,1,0,0,grey long-eared bat adenovirus 1
26201282,1,0,0,0,1,1,1,1,0,gull adenovirus
27501722,1,0,0,0,1,1,1,0,0,kowari adenovirus
27589147,1,0,0,0,1,1,1,0,0,kuhl's pipistrelle adenovirus 1
2301506,1,0,0,0,1,1,1,0,0,lemur adenovirus
27589161,1,0,0,0,1,1,1,0,0,lesser horseshoe bat adenovirus 1
27589163,1,0,0,0,1,1,1,0,0,lesser mouse-eared bat adenovirus 1
27309398,1,0,0,0,1,1,1,0,0,lesser noctule adenovirus 1
27309400,1,0,0,0,1,1,1,0,0,lesser noctule adenovirus 2
27309402,1,0,0,0,1,1,1,0,0,lesser noctule adenovirus 3
27309404,1,0,0,0,1,1,1,0,0,lesser noctule adenovirus 4
1916697,1,0,0,0,1,1,1,0,0,lophocebus aterrimus adenovirus
1916698,1,0,0,0,1,1,1,0,0,mandrillus sphinx adenovirus
27309382,1,0,0,0,1,1,1,0,0,mediterranean horseshoe bat adenovirus 1
27309384,1,0,0,0,1,1,1,0,0,mediterranean horseshoe bat adenovirus 2
27309386,1,0,0,0,1,1,1,0,0,mediterranean horseshoe bat adenovirus 3
27309388,1,0,0,0,1,1,1,0,0,mediterranean horseshoe bat adenovirus 4
27589149,1,0,0,0,1,1,1,0,0,nathusius's pipistrelle adenovirus 1
27589151,1,0,0,0,1,1,1,0,0,northern bat adenovirus 1
1916699,1,0,0,0,1,1,1,0,0,pan troglodytes adenovirus
1916700,1,0,0,0,1,1,1,0,0,papio hamadryas adenovirus
27589165,1,0,0,0,1,1,1,0,0,particoloured bat adenovirus 1
27589167,1,0,0,0,1,1,1,0,0,pond bat adenovirus 1
27533647,1,0,0,0,1,1,1,1,0,psittacine adenovirus 2
27473108,1,0,0,0,1,1,1,0,0,rattus losea adenovirus
26303144,1,0,0,0,1,1,1,0,0,rattus norvegicus adenovirus
27704971,1,0,0,0,1,1,1,0,0,rattus tanezumi adenovirus
2301509,1,0,0,0,1,1,1,0,0,red-bellied tamarin adenovirus
2301510,1,0,0,0,1,1,1,0,0,red-faced spider monkey adenovirus
2108209,1,0,0,0,1,1,1,0,0,rhinolophus pusillus adenovirus
2301517,1,0,0,0,1,1,1,0,0,ring tailer lemur adenovirus
2050010,1,0,0,0,1,1,1,0,0,rodent adenovirus
2170312,1,0,0,0,1,1,1,0,0,schreiber's bent-winged bat adenovirus
27722107,1,0,0,0,1,1,1,0,0,sea otter adenovirus 1
27589169,1,0,0,0,1,1,1,0,0,serotine bat adenovirus 1
27589171,1,0,0,0,1,1,1,0,0,serotine bat adenovirus 2
2050011,1,0,0,0,1,1,1,0,0,shrew adenovirus
27589173,1,0,0,0,1,1,1,0,0,soprano pipistrelle adenovirus 1
27309406,1,0,0,0,1,1,1,0,0,soprano pipistrelle adenovirus 2
27309408,1,0,0,0,1,1,1,0,0,soprano pipistrelle adenovirus 3
27309410,1,0,0,0,1,1,1,0,0,soprano pipistrelle adenovirus 4
27704973,1,0,0,0,1,1,1,0,0,sorex araneus adenovirus
2211155,1,0,0,0,1,1,1,0,0,sturnira lilium adenovirus
2301518,1,0,0,0,1,1,1,0,0,tufted capuchin adenovirus 1
2301519,1,0,0,0,1,1,1,0,0,tufted capuchin adenovirus 2
