"species","fam_links","VirusFamily","association","status","new_links","gen","fam","clade","MSW3_sciName_matched","tip"
"Anoura caudifer","Anoura caudifer-hepeviridae","hepeviridae",NA,0,"Anoura caudifer-hepeviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-kolmioviridae","kolmioviridae",NA,0,"Anoura caudifer-kolmioviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-mahapunaviridae","mahapunaviridae",NA,0,"Anoura caudifer-mahapunaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-matonaviridae","matonaviridae",NA,0,"Anoura caudifer-matonaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-nairoviridae","nairoviridae",NA,0,"Anoura caudifer-nairoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-nodaviridae","nodaviridae",NA,0,"Anoura caudifer-nodaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-nyamiviridae","nyamiviridae",NA,0,"Anoura caudifer-nyamiviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-orthoherpesviridae","orthoherpesviridae",NA,0,"Anoura caudifer-orthoherpesviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-orthomyxoviridae","orthomyxoviridae",NA,0,"Anoura caudifer-orthomyxoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-papillomaviridae","papillomaviridae",NA,0,"Anoura caudifer-papillomaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-paramyxoviridae","paramyxoviridae",NA,0,"Anoura caudifer-paramyxoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-partitiviridae","partitiviridae",NA,0,"Anoura caudifer-partitiviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-parvoviridae","parvoviridae",NA,0,"Anoura caudifer-parvoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
