"fam_links","Host","VirusFamily"
"Rousettus aegyptiacus-polyomaviridae","Rousettus aegyptiacus","polyomaviridae"
"Rousettus amplexicaudatus-orthomyxoviridae","Rousettus amplexicaudatus","orthomyxoviridae"
"Rousettus amplexicaudatus-coronaviridae","Rousettus amplexicaudatus","coronaviridae"
"Rousettus leschenaultii-coronaviridae","Rousettus leschenaultii","coronaviridae"
"Scotophilus dinganii-coronaviridae","Scotophilus dinganii","coronaviridae"
"Scotophilus kuhlii-astroviridae","Scotophilus kuhlii","astroviridae"
"Scotophilus kuhlii-coronaviridae","Scotophilus kuhlii","coronaviridae"
"Scotophilus kuhlii-paramyxoviridae","Scotophilus kuhlii","paramyxoviridae"
"Scotophilus leucogaster-coronaviridae","Scotophilus leucogaster","coronaviridae"
"Scotophilus nux-coronaviridae","Scotophilus nux","coronaviridae"
"Sturnira erythromos-coronaviridae","Sturnira erythromos","coronaviridae"
"Sturnira lilium-adenoviridae","Sturnira lilium","adenoviridae"
"Sturnira lilium-coronaviridae","Sturnira lilium","coronaviridae"
"Sturnira lilium-togaviridae","Sturnira lilium","togaviridae"
"Tadarida brasiliensis-coronaviridae","Tadarida brasiliensis","coronaviridae"
"Taphozous longimanus-paramyxoviridae","Taphozous longimanus","paramyxoviridae"
"Taphozous mauritianus-paramyxoviridae","Taphozous mauritianus","paramyxoviridae"
"Taphozous melanopogon-astroviridae","Taphozous melanopogon","astroviridae"
"Taphozous melanopogon-coronaviridae","Taphozous melanopogon","coronaviridae"
"Taphozous melanopogon-paramyxoviridae","Taphozous melanopogon","paramyxoviridae"
"Taphozous perforatus-orthomyxoviridae","Taphozous perforatus","orthomyxoviridae"
"Triaenops persicus-coronaviridae","Triaenops persicus","coronaviridae"
"Triaenops persicus-paramyxoviridae","Triaenops persicus","paramyxoviridae"
"Tylonycteris pachypus-coronaviridae","Tylonycteris pachypus","coronaviridae"
"Vespertilio sinensis-coronaviridae","Vespertilio sinensis","coronaviridae"
"Vespertilio sinensis-paramyxoviridae","Vespertilio sinensis","paramyxoviridae"
"Acerodon celebensis-polyomaviridae","Acerodon celebensis","polyomaviridae"
"Acerodon celebensis-astroviridae","Acerodon celebensis","astroviridae"
"Acerodon celebensis-orthoherpesviridae","Acerodon celebensis","orthoherpesviridae"
"Acerodon celebensis-spinareoviridae","Acerodon celebensis","spinareoviridae"
"Anoura caudifer-astroviridae","Anoura caudifer","astroviridae"
"Anoura geoffroyi-orthoherpesviridae","Anoura geoffroyi","orthoherpesviridae"
"Antrozous pallidus-rhabdoviridae","Antrozous pallidus","rhabdoviridae"
"Antrozous pallidus-paramyxoviridae","Antrozous pallidus","paramyxoviridae"
"Ardops nichollsi-orthoherpesviridae","Ardops nichollsi","orthoherpesviridae"
"Artibeus cinereus-coronaviridae","Artibeus cinereus","coronaviridae"
"Artibeus fimbriatus-rhabdoviridae","Artibeus fimbriatus","rhabdoviridae"
"Artibeus glaucus-flaviviridae","Artibeus glaucus","flaviviridae"
"Artibeus hirsutus-coronaviridae","Artibeus hirsutus","coronaviridae"
