"fam_links","Host","VirusFamily"
"Miniopterus schreibersii-partitiviridae","Miniopterus schreibersii","partitiviridae"
"Miniopterus schreibersii-peribunyaviridae","Miniopterus schreibersii","peribunyaviridae"
"Miniopterus schreibersii-phenuiviridae","Miniopterus schreibersii","phenuiviridae"
"Miniopterus schreibersii-adenoviridae","Miniopterus schreibersii","adenoviridae"
"Miniopterus schreibersii-totiviridae","Miniopterus schreibersii","totiviridae"
"Miniopterus sororculus-astroviridae","Miniopterus sororculus","astroviridae"
"Miniopterus sororculus-paramyxoviridae","Miniopterus sororculus","paramyxoviridae"
"Miniopterus sp.-coronaviridae","Miniopterus sp.","coronaviridae"
"Miniopterus sp.-genomoviridae","Miniopterus sp.","genomoviridae"
"Molossops neglectus-rhabdoviridae","Molossops neglectus","rhabdoviridae"
"Molossus coibensis-orthoherpesviridae","Molossus coibensis","orthoherpesviridae"
"Molossus molossus-coronaviridae","Molossus molossus","coronaviridae"
"Molossus molossus-polyomaviridae","Molossus molossus","polyomaviridae"
"Molossus molossus-anelloviridae","Molossus molossus","anelloviridae"
"Molossus molossus-genomoviridae","Molossus molossus","genomoviridae"
"Molossus molossus-adenoviridae","Molossus molossus","adenoviridae"
"Molossus molossus-orthoherpesviridae","Molossus molossus","orthoherpesviridae"
"Molossus molossus-circoviridae","Molossus molossus","circoviridae"
"Molossus molossus-paramyxoviridae","Molossus molossus","paramyxoviridae"
"Molossus molossus-rhabdoviridae","Molossus molossus","rhabdoviridae"
"Molossus molossus-smacoviridae","Molossus molossus","smacoviridae"
"Molossus molossus-peribunyaviridae","Molossus molossus","peribunyaviridae"
"Molossus molossus-parvoviridae","Molossus molossus","parvoviridae"
"Molossus molossus-retroviridae","Molossus molossus","retroviridae"
"Molossus molossus-papillomaviridae","Molossus molossus","papillomaviridae"
"Molossus molossus-totiviridae","Molossus molossus","totiviridae"
"Molossus nigricans-togaviridae","Molossus nigricans","togaviridae"
"Molossus nigricans-flaviviridae","Molossus nigricans","flaviviridae"
"Molossus pretiosus-flaviviridae","Molossus pretiosus","flaviviridae"
"Molossus rufus-coronaviridae","Molossus rufus","coronaviridae"
"Molossus rufus-rhabdoviridae","Molossus rufus","rhabdoviridae"
"Molossus rufus-paramyxoviridae","Molossus rufus","paramyxoviridae"
"Molossus rufus-flaviviridae","Molossus rufus","flaviviridae"
"Molossus sinaloae-flaviviridae","Molossus sinaloae","flaviviridae"
"Molossus sp.-coronaviridae","Molossus sp.","coronaviridae"
"Molossus sp.-rhabdoviridae","Molossus sp.","rhabdoviridae"
"Molossus sp.-paramyxoviridae","Molossus sp.","paramyxoviridae"
"Mops condylurus-astroviridae","Mops condylurus","astroviridae"
"Mops condylurus-caliciviridae","Mops condylurus","caliciviridae"
"Mops condylurus-hantaviridae","Mops condylurus","hantaviridae"
"Mops condylurus-papillomaviridae","Mops condylurus","papillomaviridae"
"Mops condylurus-parvoviridae","Mops condylurus","parvoviridae"
"Mops condylurus-flaviviridae","Mops condylurus","flaviviridae"
"Mops leucogaster-astroviridae","Mops leucogaster","astroviridae"
"Mops leucogaster-coronaviridae","Mops leucogaster","coronaviridae"
"Mops leucogaster-caliciviridae","Mops leucogaster","caliciviridae"
"Mops leucogaster-circoviridae","Mops leucogaster","circoviridae"
"Mops leucogaster-flaviviridae","Mops leucogaster","flaviviridae"
"Mops leucogaster-parvoviridae","Mops leucogaster","parvoviridae"
"Mops leucogaster-polyomaviridae","Mops leucogaster","polyomaviridae"
"Mops leucogaster-paramyxoviridae","Mops leucogaster","paramyxoviridae"
"Mops leucostigma-astroviridae","Mops leucostigma","astroviridae"
"Mops leucostigma-paramyxoviridae","Mops leucostigma","paramyxoviridae"
"Mops midas-coronaviridae","Mops midas","coronaviridae"
"Mops plicatus-coronaviridae","Mops plicatus","coronaviridae"
"Mops plicatus-papillomaviridae","Mops plicatus","papillomaviridae"
"Mops plicatus-peribunyaviridae","Mops plicatus","peribunyaviridae"
"Mops plicatus-nairoviridae","Mops plicatus","nairoviridae"
"Mops pumilus-togaviridae","Mops pumilus","togaviridae"
"Mops pumilus-astroviridae","Mops pumilus","astroviridae"
"Mops pumilus-flaviviridae","Mops pumilus","flaviviridae"
"Mops sp.-coronaviridae","Mops sp.","coronaviridae"
"Mormopterus acetabulosus-paramyxoviridae","Mormopterus acetabulosus","paramyxoviridae"
"Mormopterus francoismoutoui-astroviridae","Mormopterus francoismoutoui","astroviridae"
"Mormopterus jugularis-coronaviridae","Mormopterus jugularis","coronaviridae"
"Mormopterus jugularis-paramyxoviridae","Mormopterus jugularis","paramyxoviridae"
"Murina aenea-hantaviridae","Murina aenea","hantaviridae"
"Murina cyclotis-coronaviridae","Murina cyclotis","coronaviridae"
"Murina feae-flaviviridae","Murina feae","flaviviridae"
"Murina hilgendorfi-coronaviridae","Murina hilgendorfi","coronaviridae"
"Murina leucogaster-circoviridae","Murina leucogaster","circoviridae"
"Murina leucogaster-coronaviridae","Murina leucogaster","coronaviridae"
"Murina leucogaster-paramyxoviridae","Murina leucogaster","paramyxoviridae"
"Murina leucogaster-rhabdoviridae","Murina leucogaster","rhabdoviridae"
"Murina ussuriensis-picornaviridae","Murina ussuriensis","picornaviridae"
"Myonycteris angolensis-coronaviridae","Myonycteris angolensis","coronaviridae"
"Myonycteris angolensis-spinareoviridae","Myonycteris angolensis","spinareoviridae"
"Myonycteris angolensis-rhabdoviridae","Myonycteris angolensis","rhabdoviridae"
"Myonycteris torquata-coronaviridae","Myonycteris torquata","coronaviridae"
"Myonycteris torquata-circoviridae","Myonycteris torquata","circoviridae"
"Myonycteris torquata-paramyxoviridae","Myonycteris torquata","paramyxoviridae"
"Myonycteris torquata-filoviridae","Myonycteris torquata","filoviridae"
"Myotis adversus-coronaviridae","Myotis adversus","coronaviridae"
"Myotis adversus-astroviridae","Myotis adversus","astroviridae"
"Myotis adversus-papillomaviridae","Myotis adversus","papillomaviridae"
"Myotis adversus-caliciviridae","Myotis adversus","caliciviridae"
"Myotis adversus-genomoviridae","Myotis adversus","genomoviridae"
"Myotis adversus-paramyxoviridae","Myotis adversus","paramyxoviridae"
"Myotis albescens-rhabdoviridae","Myotis albescens","rhabdoviridae"
"Myotis alcathoe-circoviridae","Myotis alcathoe","circoviridae"
"Myotis alcathoe-orthoherpesviridae","Myotis alcathoe","orthoherpesviridae"
"Myotis altarium-rhabdoviridae","Myotis altarium","rhabdoviridae"
"Myotis austroriparius-rhabdoviridae","Myotis austroriparius","rhabdoviridae"
"Myotis bechsteinii-adenoviridae","Myotis bechsteinii","adenoviridae"
"Myotis bechsteinii-hepeviridae","Myotis bechsteinii","hepeviridae"
"Myotis bechsteinii-circoviridae","Myotis bechsteinii","circoviridae"
"Myotis bechsteinii-orthoherpesviridae","Myotis bechsteinii","orthoherpesviridae"
"Myotis blythii-circoviridae","Myotis blythii","circoviridae"
"Myotis blythii-adenoviridae","Myotis blythii","adenoviridae"
"Myotis blythii-coronaviridae","Myotis blythii","coronaviridae"
"Myotis blythii-paramyxoviridae","Myotis blythii","paramyxoviridae"
"Myotis blythii-rhabdoviridae","Myotis blythii","rhabdoviridae"
"Myotis blythii-nairoviridae","Myotis blythii","nairoviridae"
"Myotis bombinus-coronaviridae","Myotis bombinus","coronaviridae"
"Myotis bombinus-circoviridae","Myotis bombinus","circoviridae"
"Myotis bombinus-paramyxoviridae","Myotis bombinus","paramyxoviridae"
"Myotis brandtii-coronaviridae","Myotis brandtii","coronaviridae"
"Myotis brandtii-rhabdoviridae","Myotis brandtii","rhabdoviridae"
"Myotis brandtii-picornaviridae","Myotis brandtii","picornaviridae"
"Myotis brandtii-tymoviridae","Myotis brandtii","tymoviridae"
"Myotis brandtii-nairoviridae","Myotis brandtii","nairoviridae"
"Myotis californicus-rhabdoviridae","Myotis californicus","rhabdoviridae"
"Myotis capaccinii-coronaviridae","Myotis capaccinii","coronaviridae"
"Myotis capaccinii-astroviridae","Myotis capaccinii","astroviridae"
"Myotis capaccinii-rhabdoviridae","Myotis capaccinii","rhabdoviridae"
"Myotis capaccinii-orthoherpesviridae","Myotis capaccinii","orthoherpesviridae"
"Myotis cf. nigricans-paramyxoviridae","Myotis cf. nigricans","paramyxoviridae"
"Myotis chiloensis-rhabdoviridae","Myotis chiloensis","rhabdoviridae"
"Myotis chinensis-coronaviridae","Myotis chinensis","coronaviridae"
"Myotis chinensis-rhabdoviridae","Myotis chinensis","rhabdoviridae"
"Myotis chinensis-astroviridae","Myotis chinensis","astroviridae"
"Myotis chinensis-picornaviridae","Myotis chinensis","picornaviridae"
"Myotis chinensis-polyomaviridae","Myotis chinensis","polyomaviridae"
"Myotis chinensis-caliciviridae","Myotis chinensis","caliciviridae"
"Myotis chinensis-retroviridae","Myotis chinensis","retroviridae"
"Myotis chinensis-genomoviridae","Myotis chinensis","genomoviridae"
"Myotis chinensis-paramyxoviridae","Myotis chinensis","paramyxoviridae"
"Myotis ciliolabrum-rhabdoviridae","Myotis ciliolabrum","rhabdoviridae"
"Myotis crypticus-coronaviridae","Myotis crypticus","coronaviridae"
"Myotis dasycneme-coronaviridae","Myotis dasycneme","coronaviridae"
"Myotis dasycneme-picornaviridae","Myotis dasycneme","picornaviridae"
"Myotis dasycneme-rhabdoviridae","Myotis dasycneme","rhabdoviridae"
"Myotis daubentonii-polyomaviridae","Myotis daubentonii","polyomaviridae"
"Myotis daubentonii-astroviridae","Myotis daubentonii","astroviridae"
"Myotis daubentonii-caliciviridae","Myotis daubentonii","caliciviridae"
"Myotis daubentonii-parvoviridae","Myotis daubentonii","parvoviridae"
"Myotis daubentonii-sedoreoviridae","Myotis daubentonii","sedoreoviridae"
"Myotis daubentonii-hepeviridae","Myotis daubentonii","hepeviridae"
"Myotis daubentonii-circoviridae","Myotis daubentonii","circoviridae"
"Myotis daubentonii-paramyxoviridae","Myotis daubentonii","paramyxoviridae"
"Myotis daubentonii-rhabdoviridae","Myotis daubentonii","rhabdoviridae"
"Myotis daubentonii-spinareoviridae","Myotis daubentonii","spinareoviridae"
"Myotis daubentonii-orthoherpesviridae","Myotis daubentonii","orthoherpesviridae"
"Myotis daubentonii-geminiviridae","Myotis daubentonii","geminiviridae"
"Myotis daubentonii-flaviviridae","Myotis daubentonii","flaviviridae"
"Myotis davidii-coronaviridae","Myotis davidii","coronaviridae"
"Myotis davidii-phenuiviridae","Myotis davidii","phenuiviridae"
"Myotis davidii-hepadnaviridae","Myotis davidii","hepadnaviridae"
"Myotis davidii-polyomaviridae","Myotis davidii","polyomaviridae"
"Myotis davidii-orthoherpesviridae","Myotis davidii","orthoherpesviridae"
"Myotis davidii-circoviridae","Myotis davidii","circoviridae"
"Myotis davidii-astroviridae","Myotis davidii","astroviridae"
"Myotis davidii-spinareoviridae","Myotis davidii","spinareoviridae"
"Myotis davidii-flaviviridae","Myotis davidii","flaviviridae"
"Myotis davidii-paramyxoviridae","Myotis davidii","paramyxoviridae"
"Myotis dinellii-rhabdoviridae","Myotis dinellii","rhabdoviridae"
"Myotis emarginatus-coronaviridae","Myotis emarginatus","coronaviridae"
"Myotis emarginatus-astroviridae","Myotis emarginatus","astroviridae"
"Myotis emarginatus-adenoviridae","Myotis emarginatus","adenoviridae"
"Myotis emarginatus-circoviridae","Myotis emarginatus","circoviridae"
"Myotis emarginatus-paramyxoviridae","Myotis emarginatus","paramyxoviridae"
"Myotis emarginatus-spinareoviridae","Myotis emarginatus","spinareoviridae"
"Myotis emarginatus-orthoherpesviridae","Myotis emarginatus","orthoherpesviridae"
"Myotis emarginatus-polyomaviridae","Myotis emarginatus","polyomaviridae"
"Myotis escalerai-orthoherpesviridae","Myotis escalerai","orthoherpesviridae"
"Myotis evotis-rhabdoviridae","Myotis evotis","rhabdoviridae"
"Myotis fimbriatus-astroviridae","Myotis fimbriatus","astroviridae"
"Myotis fimbriatus-circoviridae","Myotis fimbriatus","circoviridae"
"Myotis fimbriatus-hepadnaviridae","Myotis fimbriatus","hepadnaviridae"
"Myotis fimbriatus-adenoviridae","Myotis fimbriatus","adenoviridae"
"Myotis fimbriatus-paramyxoviridae","Myotis fimbriatus","paramyxoviridae"
"Myotis fimbriatus-picornaviridae","Myotis fimbriatus","picornaviridae"
"Myotis fimbriatus-poxviridae","Myotis fimbriatus","poxviridae"
"Myotis flavus-coronaviridae","Myotis flavus","coronaviridae"
"Myotis frater-circoviridae","Myotis frater","circoviridae"
"Myotis grisescens-rhabdoviridae","Myotis grisescens","rhabdoviridae"
"Myotis horsfieldii-adenoviridae","Myotis horsfieldii","adenoviridae"
"Myotis horsfieldii-polyomaviridae","Myotis horsfieldii","polyomaviridae"
"Myotis horsfieldii-sedoreoviridae","Myotis horsfieldii","sedoreoviridae"
"Myotis horsfieldii-partitiviridae","Myotis horsfieldii","partitiviridae"
"Myotis horsfieldii-picobirnaviridae","Myotis horsfieldii","picobirnaviridae"
"Myotis horsfieldii-picornaviridae","Myotis horsfieldii","picornaviridae"
"Myotis horsfieldii-totiviridae","Myotis horsfieldii","totiviridae"
"Myotis ikonnikovi-coronaviridae","Myotis ikonnikovi","coronaviridae"
"Myotis keenii-rhabdoviridae","Myotis keenii","rhabdoviridae"
"Myotis laniger-astroviridae","Myotis laniger","astroviridae"
"Myotis laniger-polyomaviridae","Myotis laniger","polyomaviridae"
"Myotis laniger-flaviviridae","Myotis laniger","flaviviridae"
"Myotis laniger-paramyxoviridae","Myotis laniger","paramyxoviridae"
"Myotis laniger-rhabdoviridae","Myotis laniger","rhabdoviridae"
"Myotis leibii-rhabdoviridae","Myotis leibii","rhabdoviridae"
"Myotis levis-rhabdoviridae","Myotis levis","rhabdoviridae"
"Myotis lucifugus-coronaviridae","Myotis lucifugus","coronaviridae"
"Myotis lucifugus-rhabdoviridae","Myotis lucifugus","rhabdoviridae"
"Myotis lucifugus-flaviviridae","Myotis lucifugus","flaviviridae"
"Myotis macrodactylus-coronaviridae","Myotis macrodactylus","coronaviridae"
"Myotis macrodactylus-circoviridae","Myotis macrodactylus","circoviridae"
"Myotis macrodactylus-astroviridae","Myotis macrodactylus","astroviridae"
"Myotis macrodactylus-adenoviridae","Myotis macrodactylus","adenoviridae"
"Myotis macrodactylus-sedoreoviridae","Myotis macrodactylus","sedoreoviridae"
"Myotis macrodactylus-paramyxoviridae","Myotis macrodactylus","paramyxoviridae"
"Myotis macropus-coronaviridae","Myotis macropus","coronaviridae"
"Myotis muricola-coronaviridae","Myotis muricola","coronaviridae"
"Myotis myotis-circoviridae","Myotis myotis","circoviridae"
"Myotis myotis-caliciviridae","Myotis myotis","caliciviridae"
"Myotis myotis-picornaviridae","Myotis myotis","picornaviridae"
"Myotis myotis-adenoviridae","Myotis myotis","adenoviridae"
"Myotis myotis-parvoviridae","Myotis myotis","parvoviridae"
"Myotis myotis-flaviviridae","Myotis myotis","flaviviridae"
"Myotis myotis-rhabdoviridae","Myotis myotis","rhabdoviridae"
"Myotis myotis-spinareoviridae","Myotis myotis","spinareoviridae"
"Myotis myotis-orthoherpesviridae","Myotis myotis","orthoherpesviridae"
"Myotis myotis-polyomaviridae","Myotis myotis","polyomaviridae"
"Myotis myotis/blythii-astroviridae","Myotis myotis/blythii","astroviridae"
"Myotis mystacinus-astroviridae","Myotis mystacinus","astroviridae"
"Myotis mystacinus-nairoviridae","Myotis mystacinus","nairoviridae"
"Myotis mystacinus-sedoreoviridae","Myotis mystacinus","sedoreoviridae"
"Myotis mystacinus-circoviridae","Myotis mystacinus","circoviridae"
"Myotis mystacinus-rhabdoviridae","Myotis mystacinus","rhabdoviridae"
"Myotis mystacinus-spinareoviridae","Myotis mystacinus","spinareoviridae"
"Myotis mystacinus-orthoherpesviridae","Myotis mystacinus","orthoherpesviridae"
"Myotis nattereri-coronaviridae","Myotis nattereri","coronaviridae"
"Myotis nattereri-bornaviridae","Myotis nattereri","bornaviridae"
"Myotis nattereri-circoviridae","Myotis nattereri","circoviridae"
"Myotis nattereri-paramyxoviridae","Myotis nattereri","paramyxoviridae"
"Myotis nattereri-rhabdoviridae","Myotis nattereri","rhabdoviridae"
"Myotis nattereri-spinareoviridae","Myotis nattereri","spinareoviridae"
"Myotis nigricans-papillomaviridae","Myotis nigricans","papillomaviridae"
"Myotis nigricans-rhabdoviridae","Myotis nigricans","rhabdoviridae"
"Myotis nigricans-paramyxoviridae","Myotis nigricans","paramyxoviridae"
"Myotis nigricans-flaviviridae","Myotis nigricans","flaviviridae"
"Myotis oxygnathus-coronaviridae","Myotis oxygnathus","coronaviridae"
"Myotis oxyotus-orthoherpesviridae","Myotis oxyotus","orthoherpesviridae"
"Myotis pequinius-astroviridae","Myotis pequinius","astroviridae"
"Myotis pequinius-circoviridae","Myotis pequinius","circoviridae"
"Myotis pequinius-coronaviridae","Myotis pequinius","coronaviridae"
"Myotis pequinius-hepadnaviridae","Myotis pequinius","hepadnaviridae"
"Myotis pequinius-adenoviridae","Myotis pequinius","adenoviridae"
"Myotis pequinius-parvoviridae","Myotis pequinius","parvoviridae"
"Myotis pequinius-polyomaviridae","Myotis pequinius","polyomaviridae"
"Myotis pequinius-rhabdoviridae","Myotis pequinius","rhabdoviridae"
"Myotis petax-coronaviridae","Myotis petax","coronaviridae"
"Myotis petax-circoviridae","Myotis petax","circoviridae"
"Myotis petax-astroviridae","Myotis petax","astroviridae"
"Myotis petax-paramyxoviridae","Myotis petax","paramyxoviridae"
"Myotis pilosus-rhabdoviridae","Myotis pilosus","rhabdoviridae"
"Myotis pilosus-caliciviridae","Myotis pilosus","caliciviridae"
"Myotis pilosus-circoviridae","Myotis pilosus","circoviridae"
"Myotis pilosus-retroviridae","Myotis pilosus","retroviridae"
"Myotis pilosus-hepadnaviridae","Myotis pilosus","hepadnaviridae"
"Myotis pilosus-adenoviridae","Myotis pilosus","adenoviridae"
"Myotis pilosus-sedoreoviridae","Myotis pilosus","sedoreoviridae"
"Myotis pilosus-papillomaviridae","Myotis pilosus","papillomaviridae"
"Myotis pilosus-parvoviridae","Myotis pilosus","parvoviridae"
"Myotis pilosus-picornaviridae","Myotis pilosus","picornaviridae"
"Myotis pilosus-genomoviridae","Myotis pilosus","genomoviridae"
"Myotis pilosus-spinareoviridae","Myotis pilosus","spinareoviridae"
"Myotis pilosus-orthoherpesviridae","Myotis pilosus","orthoherpesviridae"
"Myotis pilosus-flaviviridae","Myotis pilosus","flaviviridae"
"Myotis punicus-coronaviridae","Myotis punicus","coronaviridae"
"Myotis riparius-adenoviridae","Myotis riparius","adenoviridae"
"Myotis riparius-rhabdoviridae","Myotis riparius","rhabdoviridae"
"Myotis riparius-paramyxoviridae","Myotis riparius","paramyxoviridae"
"Myotis rufoniger-coronaviridae","Myotis rufoniger","coronaviridae"
"Myotis septentrionalis-rhabdoviridae","Myotis septentrionalis","rhabdoviridae"
"Myotis sibiricus-coronaviridae","Myotis sibiricus","coronaviridae"
"Myotis siligorensis-astroviridae","Myotis siligorensis","astroviridae"
"Myotis siligorensis-papillomaviridae","Myotis siligorensis","papillomaviridae"
"Myotis siligorensis-caliciviridae","Myotis siligorensis","caliciviridae"
"Myotis siligorensis-circoviridae","Myotis siligorensis","circoviridae"
"Myotis siligorensis-genomoviridae","Myotis siligorensis","genomoviridae"
"Myotis siligorensis-paramyxoviridae","Myotis siligorensis","paramyxoviridae"
"Myotis siligorensis-flaviviridae","Myotis siligorensis","flaviviridae"
"Myotis sp.-coronaviridae","Myotis sp.","coronaviridae"
"Myotis sp.-togaviridae","Myotis sp.","togaviridae"
"Myotis sp.-astroviridae","Myotis sp.","astroviridae"
"Myotis sp.-caliciviridae","Myotis sp.","caliciviridae"
"Myotis sp.-adenoviridae","Myotis sp.","adenoviridae"
"Myotis sp.-polyomaviridae","Myotis sp.","polyomaviridae"
"Myotis sp.-orthoherpesviridae","Myotis sp.","orthoherpesviridae"
"Myotis sp.-circoviridae","Myotis sp.","circoviridae"
"Myotis sp.-rhabdoviridae","Myotis sp.","rhabdoviridae"
"Myotis sp.-paramyxoviridae","Myotis sp.","paramyxoviridae"
"Myotis thysanodes-rhabdoviridae","Myotis thysanodes","rhabdoviridae"
"Myotis velifer-rhabdoviridae","Myotis velifer","rhabdoviridae"
"Myotis velifer-adenoviridae","Myotis velifer","adenoviridae"
"Myotis velifer-orthoherpesviridae","Myotis velifer","orthoherpesviridae"
"Myotis velifer-paramyxoviridae","Myotis velifer","paramyxoviridae"
"Myotis volans-rhabdoviridae","Myotis volans","rhabdoviridae"
"Myotis yumanensis-rhabdoviridae","Myotis yumanensis","rhabdoviridae"
"Mystacina tuberculata-coronaviridae","Mystacina tuberculata","coronaviridae"
"Mystacina tuberculata-hepeviridae","Mystacina tuberculata","hepeviridae"
"Mystacina tuberculata-nodaviridae","Mystacina tuberculata","nodaviridae"
"Mystacina tuberculata-peribunyaviridae","Mystacina tuberculata","peribunyaviridae"
"Mystacina tuberculata-picobirnaviridae","Mystacina tuberculata","picobirnaviridae"
"Mystacina tuberculata-flaviviridae","Mystacina tuberculata","flaviviridae"
"Nanonycteris veldkampii-coronaviridae","Nanonycteris veldkampii","coronaviridae"
"Natalus stramineus-flaviviridae","Natalus stramineus","flaviviridae"
"Neoeptesicus brasiliensis-rhabdoviridae","Neoeptesicus brasiliensis","rhabdoviridae"
"Neoeptesicus diminutus-adenoviridae","Neoeptesicus diminutus","adenoviridae"
"Neoeptesicus diminutus-rhabdoviridae","Neoeptesicus diminutus","rhabdoviridae"
"Neoeptesicus furinalis-togaviridae","Neoeptesicus furinalis","togaviridae"
"Neoeptesicus furinalis-orthoherpesviridae","Neoeptesicus furinalis","orthoherpesviridae"
"Neoeptesicus furinalis-rhabdoviridae","Neoeptesicus furinalis","rhabdoviridae"
"Neoeptesicus furinalis-paramyxoviridae","Neoeptesicus furinalis","paramyxoviridae"
"Neoromicia helios-orthoherpesviridae","Neoromicia helios","orthoherpesviridae"
"Neoromicia helios-adenoviridae","Neoromicia helios","adenoviridae"
"Neoromicia somalicus-coronaviridae","Neoromicia somalicus","coronaviridae"
"Nyctalus lasiopterus-adenoviridae","Nyctalus lasiopterus","adenoviridae"
"Nyctalus lasiopterus-orthoherpesviridae","Nyctalus lasiopterus","orthoherpesviridae"
"Nyctalus leisleri-adenoviridae","Nyctalus leisleri","adenoviridae"
"Nyctalus leisleri-orthoherpesviridae","Nyctalus leisleri","orthoherpesviridae"
"Nyctalus noctula-orthomyxoviridae","Nyctalus noctula","orthomyxoviridae"
"Nyctalus noctula-coronaviridae","Nyctalus noctula","coronaviridae"
"Nyctalus noctula-astroviridae","Nyctalus noctula","astroviridae"
"Nyctalus noctula-picornaviridae","Nyctalus noctula","picornaviridae"
"Nyctalus noctula-adenoviridae","Nyctalus noctula","adenoviridae"
"Nyctalus noctula-parvoviridae","Nyctalus noctula","parvoviridae"
"Nyctalus noctula-circoviridae","Nyctalus noctula","circoviridae"
"Nyctalus noctula-hantaviridae","Nyctalus noctula","hantaviridae"
"Nyctalus noctula-rhabdoviridae","Nyctalus noctula","rhabdoviridae"
"Nyctalus noctula-spinareoviridae","Nyctalus noctula","spinareoviridae"
"Nyctalus noctula-flaviviridae","Nyctalus noctula","flaviviridae"
"Nyctalus noctula-orthoherpesviridae","Nyctalus noctula","orthoherpesviridae"
"Nyctalus noctula-nairoviridae","Nyctalus noctula","nairoviridae"
"Nyctalus plancyi-parvoviridae","Nyctalus plancyi","parvoviridae"
"Nyctalus plancyi-astroviridae","Nyctalus plancyi","astroviridae"
"Nyctalus plancyi-picornaviridae","Nyctalus plancyi","picornaviridae"
"Nyctalus plancyi-rhabdoviridae","Nyctalus plancyi","rhabdoviridae"
"Nycteris grandis-adenoviridae","Nycteris grandis","adenoviridae"
"Nycteris grandis-circoviridae","Nycteris grandis","circoviridae"
"Nycteris hispida-astroviridae","Nycteris hispida","astroviridae"
"Nycteris macrotis-coronaviridae","Nycteris macrotis","coronaviridae"
"Nycteris thebaica-coronaviridae","Nycteris thebaica","coronaviridae"
"Nycteris thebaica-astroviridae","Nycteris thebaica","astroviridae"
"Nycteris thebaica-rhabdoviridae","Nycteris thebaica","rhabdoviridae"
"Nycticeinops crassulus-astroviridae","Nycticeinops crassulus","astroviridae"
"Nycticeinops schlieffeni-rhabdoviridae","Nycticeinops schlieffeni","rhabdoviridae"
"Nycticeius humeralis-rhabdoviridae","Nycticeius humeralis","rhabdoviridae"
"Nyctimene cephalotes-rhabdoviridae","Nyctimene cephalotes","rhabdoviridae"
"Nyctinomops femorosaccus-paramyxoviridae","Nyctinomops femorosaccus","paramyxoviridae"
"Nyctinomops laticaudatus-paramyxoviridae","Nyctinomops laticaudatus","paramyxoviridae"
"Nyctinomops laticaudatus-rhabdoviridae","Nyctinomops laticaudatus","rhabdoviridae"
"Nyctinomops laticaudatus-filoviridae","Nyctinomops laticaudatus","filoviridae"
"Nyctinomops macrotis-rhabdoviridae","Nyctinomops macrotis","rhabdoviridae"
"Nyctinomops macrotis-flaviviridae","Nyctinomops macrotis","flaviviridae"
"Nyctophilus geoffroyi-adenoviridae","Nyctophilus geoffroyi","adenoviridae"
"Nyctophilus gouldi-adenoviridae","Nyctophilus gouldi","adenoviridae"
"Otomops harrisoni-coronaviridae","Otomops harrisoni","coronaviridae"
"Otomops madagascariensis-paramyxoviridae","Otomops madagascariensis","paramyxoviridae"
"Otomops martiensseni-polyomaviridae","Otomops martiensseni","polyomaviridae"
"Otomops martiensseni-flaviviridae","Otomops martiensseni","flaviviridae"
"Otomops martiensseni-adenoviridae","Otomops martiensseni","adenoviridae"
"Otomops martiensseni-paramyxoviridae","Otomops martiensseni","paramyxoviridae"
"Parastrellus hesperus-rhabdoviridae","Parastrellus hesperus","rhabdoviridae"
"Penthetor lucasii-coronaviridae","Penthetor lucasii","coronaviridae"
"Perimyotis subflavus-rhabdoviridae","Perimyotis subflavus","rhabdoviridae"
"Peropteryx macrotis-togaviridae","Peropteryx macrotis","togaviridae"
"Peropteryx macrotis-flaviviridae","Peropteryx macrotis","flaviviridae"
"Phyllostomus discolor-coronaviridae","Phyllostomus discolor","coronaviridae"
"Phyllostomus discolor-adenoviridae","Phyllostomus discolor","adenoviridae"
"Phyllostomus discolor-flaviviridae","Phyllostomus discolor","flaviviridae"
"Phyllostomus elongatus-paramyxoviridae","Phyllostomus elongatus","paramyxoviridae"
"Phyllostomus hastatus-coronaviridae","Phyllostomus hastatus","coronaviridae"
"Phyllostomus hastatus-rhabdoviridae","Phyllostomus hastatus","rhabdoviridae"
"Phyllostomus hastatus-peribunyaviridae","Phyllostomus hastatus","peribunyaviridae"
"Pipistrellus abramus-coronaviridae","Pipistrellus abramus","coronaviridae"
"Pipistrellus abramus-rhabdoviridae","Pipistrellus abramus","rhabdoviridae"
"Pipistrellus abramus-adenoviridae","Pipistrellus abramus","adenoviridae"
"Pipistrellus abramus-papillomaviridae","Pipistrellus abramus","papillomaviridae"
"Pipistrellus abramus-polyomaviridae","Pipistrellus abramus","polyomaviridae"
"Pipistrellus abramus-hepeviridae","Pipistrellus abramus","hepeviridae"
"Pipistrellus abramus-circoviridae","Pipistrellus abramus","circoviridae"
"Pipistrellus abramus-genomoviridae","Pipistrellus abramus","genomoviridae"
"Pipistrellus abramus-parvoviridae","Pipistrellus abramus","parvoviridae"
"Pipistrellus abramus-hantaviridae","Pipistrellus abramus","hantaviridae"
"Pipistrellus abramus-astroviridae","Pipistrellus abramus","astroviridae"
"Pipistrellus abramus-flaviviridae","Pipistrellus abramus","flaviviridae"
"Pipistrellus kuhlii-coronaviridae","Pipistrellus kuhlii","coronaviridae"
"Pipistrellus kuhlii-astroviridae","Pipistrellus kuhlii","astroviridae"
"Pipistrellus kuhlii-picornaviridae","Pipistrellus kuhlii","picornaviridae"
"Pipistrellus kuhlii-adenoviridae","Pipistrellus kuhlii","adenoviridae"
