"","fam_links","Host","VirusFamily","association","status"
"7768","Molossus coibensis-qinviridae","Molossus coibensis","qinviridae",NA,0
"7769","Molossus coibensis-retroviridae","Molossus coibensis","retroviridae",NA,0
"7770","Molossus coibensis-rhabdoviridae","Molossus coibensis","rhabdoviridae",NA,0
"7771","Molossus coibensis-sedoreoviridae","Molossus coibensis","sedoreoviridae",NA,0
"7772","Molossus coibensis-smacoviridae","Molossus coibensis","smacoviridae",NA,0
"7773","Molossus coibensis-spinareoviridae","Molossus coibensis","spinareoviridae",NA,0
"7774","Molossus coibensis-togaviridae","Molossus coibensis","togaviridae",NA,0
"7775","Molossus coibensis-totiviridae","Molossus coibensis","totiviridae",NA,0
"7776","Molossus coibensis-tymoviridae","Molossus coibensis","tymoviridae",NA,0
"7777","Molossus molossus-adamaviridae","Molossus molossus","adamaviridae",NA,0
"7778","Molossus molossus-adenoviridae","Molossus molossus","adenoviridae",1,1
"7779","Molossus molossus-adintoviridae","Molossus molossus","adintoviridae",NA,0
"7780","Molossus molossus-anelloviridae","Molossus molossus","anelloviridae",1,1
"7781","Molossus molossus-arenaviridae","Molossus molossus","arenaviridae",NA,0
"7782","Molossus molossus-artoviridae","Molossus molossus","artoviridae",NA,0
"7783","Molossus molossus-astroviridae","Molossus molossus","astroviridae",NA,0
"7784","Molossus molossus-birnaviridae","Molossus molossus","birnaviridae",NA,0
"7785","Molossus molossus-bornaviridae","Molossus molossus","bornaviridae",NA,0
"7786","Molossus molossus-botourmiaviridae","Molossus molossus","botourmiaviridae",NA,0
"7787","Molossus molossus-caliciviridae","Molossus molossus","caliciviridae",NA,0
"7788","Molossus molossus-chuviridae","Molossus molossus","chuviridae",NA,0
"7789","Molossus molossus-circoviridae","Molossus molossus","circoviridae",1,1
"7790","Molossus molossus-coronaviridae","Molossus molossus","coronaviridae",1,1
"7791","Molossus molossus-filoviridae","Molossus molossus","filoviridae",NA,0
"7792","Molossus molossus-flaviviridae","Molossus molossus","flaviviridae",NA,0
"7793","Molossus molossus-geminiviridae","Molossus molossus","geminiviridae",NA,0
"7794","Molossus molossus-genomoviridae","Molossus molossus","genomoviridae",1,1
"7795","Molossus molossus-hantaviridae","Molossus molossus","hantaviridae",NA,0
"7796","Molossus molossus-hepadnaviridae","Molossus molossus","hepadnaviridae",NA,0
"7797","Molossus molossus-hepeviridae","Molossus molossus","hepeviridae",NA,0
"7798","Molossus molossus-kolmioviridae","Molossus molossus","kolmioviridae",NA,0
"7799","Molossus molossus-mahapunaviridae","Molossus molossus","mahapunaviridae",NA,0
"7800","Molossus molossus-matonaviridae","Molossus molossus","matonaviridae",NA,0
"7801","Molossus molossus-nairoviridae","Molossus molossus","nairoviridae",NA,0
"7802","Molossus molossus-nodaviridae","Molossus molossus","nodaviridae",NA,0
"7803","Molossus molossus-nyamiviridae","Molossus molossus","nyamiviridae",NA,0
"7804","Molossus molossus-orthoherpesviridae","Molossus molossus","orthoherpesviridae",1,1
"7805","Molossus molossus-orthomyxoviridae","Molossus molossus","orthomyxoviridae",NA,0
"7806","Molossus molossus-papillomaviridae","Molossus molossus","papillomaviridae",1,1
"7807","Molossus molossus-paramyxoviridae","Molossus molossus","paramyxoviridae",1,1
"7808","Molossus molossus-partitiviridae","Molossus molossus","partitiviridae",NA,0
"7809","Molossus molossus-parvoviridae","Molossus molossus","parvoviridae",1,1
"7810","Molossus molossus-peribunyaviridae","Molossus molossus","peribunyaviridae",1,1
"7811","Molossus molossus-phenuiviridae","Molossus molossus","phenuiviridae",NA,0
"7812","Molossus molossus-picobirnaviridae","Molossus molossus","picobirnaviridae",NA,0
"7813","Molossus molossus-picornaviridae","Molossus molossus","picornaviridae",NA,0
"7814","Molossus molossus-polyomaviridae","Molossus molossus","polyomaviridae",1,1
"7815","Molossus molossus-poxviridae","Molossus molossus","poxviridae",NA,0
"7816","Molossus molossus-qinviridae","Molossus molossus","qinviridae",NA,0
"7817","Molossus molossus-retroviridae","Molossus molossus","retroviridae",1,1
"7818","Molossus molossus-rhabdoviridae","Molossus molossus","rhabdoviridae",1,1
"7819","Molossus molossus-sedoreoviridae","Molossus molossus","sedoreoviridae",NA,0
"7820","Molossus molossus-smacoviridae","Molossus molossus","smacoviridae",1,1
"7821","Molossus molossus-spinareoviridae","Molossus molossus","spinareoviridae",NA,0
"7822","Molossus molossus-togaviridae","Molossus molossus","togaviridae",NA,0
"7823","Molossus molossus-totiviridae","Molossus molossus","totiviridae",1,1
"7824","Molossus molossus-tymoviridae","Molossus molossus","tymoviridae",NA,0
"7825","Molossus nigricans-adamaviridae","Molossus nigricans","adamaviridae",NA,0
"7826","Molossus nigricans-adenoviridae","Molossus nigricans","adenoviridae",NA,0
"7827","Molossus nigricans-adintoviridae","Molossus nigricans","adintoviridae",NA,0
"7828","Molossus nigricans-anelloviridae","Molossus nigricans","anelloviridae",NA,0
"7829","Molossus nigricans-arenaviridae","Molossus nigricans","arenaviridae",NA,0
"7830","Molossus nigricans-artoviridae","Molossus nigricans","artoviridae",NA,0
"7831","Molossus nigricans-astroviridae","Molossus nigricans","astroviridae",NA,0
"7832","Molossus nigricans-birnaviridae","Molossus nigricans","birnaviridae",NA,0
"7833","Molossus nigricans-bornaviridae","Molossus nigricans","bornaviridae",NA,0
"7834","Molossus nigricans-botourmiaviridae","Molossus nigricans","botourmiaviridae",NA,0
"7835","Molossus nigricans-caliciviridae","Molossus nigricans","caliciviridae",NA,0
"7836","Molossus nigricans-chuviridae","Molossus nigricans","chuviridae",NA,0
"7837","Molossus nigricans-circoviridae","Molossus nigricans","circoviridae",NA,0
"7838","Molossus nigricans-coronaviridae","Molossus nigricans","coronaviridae",NA,0
"7839","Molossus nigricans-filoviridae","Molossus nigricans","filoviridae",NA,0
"7840","Molossus nigricans-flaviviridae","Molossus nigricans","flaviviridae",1,1
"7841","Molossus nigricans-geminiviridae","Molossus nigricans","geminiviridae",NA,0
"7842","Molossus nigricans-genomoviridae","Molossus nigricans","genomoviridae",NA,0
"7843","Molossus nigricans-hantaviridae","Molossus nigricans","hantaviridae",NA,0
"7844","Molossus nigricans-hepadnaviridae","Molossus nigricans","hepadnaviridae",NA,0
"7845","Molossus nigricans-hepeviridae","Molossus nigricans","hepeviridae",NA,0
"7846","Molossus nigricans-kolmioviridae","Molossus nigricans","kolmioviridae",NA,0
"7847","Molossus nigricans-mahapunaviridae","Molossus nigricans","mahapunaviridae",NA,0
"7848","Molossus nigricans-matonaviridae","Molossus nigricans","matonaviridae",NA,0
"7849","Molossus nigricans-nairoviridae","Molossus nigricans","nairoviridae",NA,0
"7850","Molossus nigricans-nodaviridae","Molossus nigricans","nodaviridae",NA,0
"7851","Molossus nigricans-nyamiviridae","Molossus nigricans","nyamiviridae",NA,0
"7852","Molossus nigricans-orthoherpesviridae","Molossus nigricans","orthoherpesviridae",NA,0
"7853","Molossus nigricans-orthomyxoviridae","Molossus nigricans","orthomyxoviridae",NA,0
"7854","Molossus nigricans-papillomaviridae","Molossus nigricans","papillomaviridae",NA,0
"7855","Molossus nigricans-paramyxoviridae","Molossus nigricans","paramyxoviridae",NA,0
"7856","Molossus nigricans-partitiviridae","Molossus nigricans","partitiviridae",NA,0
"7857","Molossus nigricans-parvoviridae","Molossus nigricans","parvoviridae",NA,0
"7858","Molossus nigricans-peribunyaviridae","Molossus nigricans","peribunyaviridae",NA,0
"7859","Molossus nigricans-phenuiviridae","Molossus nigricans","phenuiviridae",NA,0
"7860","Molossus nigricans-picobirnaviridae","Molossus nigricans","picobirnaviridae",NA,0
"7861","Molossus nigricans-picornaviridae","Molossus nigricans","picornaviridae",NA,0
"7862","Molossus nigricans-polyomaviridae","Molossus nigricans","polyomaviridae",NA,0
"7863","Molossus nigricans-poxviridae","Molossus nigricans","poxviridae",NA,0
"7864","Molossus nigricans-qinviridae","Molossus nigricans","qinviridae",NA,0
"7865","Molossus nigricans-retroviridae","Molossus nigricans","retroviridae",NA,0
"7866","Molossus nigricans-rhabdoviridae","Molossus nigricans","rhabdoviridae",NA,0
"7867","Molossus nigricans-sedoreoviridae","Molossus nigricans","sedoreoviridae",NA,0
"7868","Molossus nigricans-smacoviridae","Molossus nigricans","smacoviridae",NA,0
"7869","Molossus nigricans-spinareoviridae","Molossus nigricans","spinareoviridae",NA,0
"7870","Molossus nigricans-togaviridae","Molossus nigricans","togaviridae",1,1
"7871","Molossus nigricans-totiviridae","Molossus nigricans","totiviridae",NA,0
"7872","Molossus nigricans-tymoviridae","Molossus nigricans","tymoviridae",NA,0
"7873","Molossus pretiosus-adamaviridae","Molossus pretiosus","adamaviridae",NA,0
"7874","Molossus pretiosus-adenoviridae","Molossus pretiosus","adenoviridae",NA,0
"7875","Molossus pretiosus-adintoviridae","Molossus pretiosus","adintoviridae",NA,0
"7876","Molossus pretiosus-anelloviridae","Molossus pretiosus","anelloviridae",NA,0
"7877","Molossus pretiosus-arenaviridae","Molossus pretiosus","arenaviridae",NA,0
"7878","Molossus pretiosus-artoviridae","Molossus pretiosus","artoviridae",NA,0
"7879","Molossus pretiosus-astroviridae","Molossus pretiosus","astroviridae",NA,0
"7880","Molossus pretiosus-birnaviridae","Molossus pretiosus","birnaviridae",NA,0
"7881","Molossus pretiosus-bornaviridae","Molossus pretiosus","bornaviridae",NA,0
"7882","Molossus pretiosus-botourmiaviridae","Molossus pretiosus","botourmiaviridae",NA,0
"7883","Molossus pretiosus-caliciviridae","Molossus pretiosus","caliciviridae",NA,0
"7884","Molossus pretiosus-chuviridae","Molossus pretiosus","chuviridae",NA,0
"7885","Molossus pretiosus-circoviridae","Molossus pretiosus","circoviridae",NA,0
"7886","Molossus pretiosus-coronaviridae","Molossus pretiosus","coronaviridae",NA,0
"7887","Molossus pretiosus-filoviridae","Molossus pretiosus","filoviridae",NA,0
"7888","Molossus pretiosus-flaviviridae","Molossus pretiosus","flaviviridae",1,1
"7889","Molossus pretiosus-geminiviridae","Molossus pretiosus","geminiviridae",NA,0
"7890","Molossus pretiosus-genomoviridae","Molossus pretiosus","genomoviridae",NA,0
"7891","Molossus pretiosus-hantaviridae","Molossus pretiosus","hantaviridae",NA,0
"7892","Molossus pretiosus-hepadnaviridae","Molossus pretiosus","hepadnaviridae",NA,0
"7893","Molossus pretiosus-hepeviridae","Molossus pretiosus","hepeviridae",NA,0
"7894","Molossus pretiosus-kolmioviridae","Molossus pretiosus","kolmioviridae",NA,0
"7895","Molossus pretiosus-mahapunaviridae","Molossus pretiosus","mahapunaviridae",NA,0
"7896","Molossus pretiosus-matonaviridae","Molossus pretiosus","matonaviridae",NA,0
"7897","Molossus pretiosus-nairoviridae","Molossus pretiosus","nairoviridae",NA,0
"7898","Molossus pretiosus-nodaviridae","Molossus pretiosus","nodaviridae",NA,0
"7899","Molossus pretiosus-nyamiviridae","Molossus pretiosus","nyamiviridae",NA,0
"7900","Molossus pretiosus-orthoherpesviridae","Molossus pretiosus","orthoherpesviridae",NA,0
"7901","Molossus pretiosus-orthomyxoviridae","Molossus pretiosus","orthomyxoviridae",NA,0
"7902","Molossus pretiosus-papillomaviridae","Molossus pretiosus","papillomaviridae",NA,0
"7903","Molossus pretiosus-paramyxoviridae","Molossus pretiosus","paramyxoviridae",NA,0
"7904","Molossus pretiosus-partitiviridae","Molossus pretiosus","partitiviridae",NA,0
"7905","Molossus pretiosus-parvoviridae","Molossus pretiosus","parvoviridae",NA,0
"7906","Molossus pretiosus-peribunyaviridae","Molossus pretiosus","peribunyaviridae",NA,0
"7907","Molossus pretiosus-phenuiviridae","Molossus pretiosus","phenuiviridae",NA,0
"7908","Molossus pretiosus-picobirnaviridae","Molossus pretiosus","picobirnaviridae",NA,0
"7909","Molossus pretiosus-picornaviridae","Molossus pretiosus","picornaviridae",NA,0
"7910","Molossus pretiosus-polyomaviridae","Molossus pretiosus","polyomaviridae",NA,0
"7911","Molossus pretiosus-poxviridae","Molossus pretiosus","poxviridae",NA,0
"7912","Molossus pretiosus-qinviridae","Molossus pretiosus","qinviridae",NA,0
"7913","Molossus pretiosus-retroviridae","Molossus pretiosus","retroviridae",NA,0
"7914","Molossus pretiosus-rhabdoviridae","Molossus pretiosus","rhabdoviridae",NA,0
"7915","Molossus pretiosus-sedoreoviridae","Molossus pretiosus","sedoreoviridae",NA,0
"7916","Molossus pretiosus-smacoviridae","Molossus pretiosus","smacoviridae",NA,0
"7917","Molossus pretiosus-spinareoviridae","Molossus pretiosus","spinareoviridae",NA,0
"7918","Molossus pretiosus-togaviridae","Molossus pretiosus","togaviridae",NA,0
"7919","Molossus pretiosus-totiviridae","Molossus pretiosus","totiviridae",NA,0
"7920","Molossus pretiosus-tymoviridae","Molossus pretiosus","tymoviridae",NA,0
"7921","Molossus rufus-adamaviridae","Molossus rufus","adamaviridae",NA,0
"7922","Molossus rufus-adenoviridae","Molossus rufus","adenoviridae",NA,0
"7923","Molossus rufus-adintoviridae","Molossus rufus","adintoviridae",NA,0
"7924","Molossus rufus-anelloviridae","Molossus rufus","anelloviridae",NA,0
"7925","Molossus rufus-arenaviridae","Molossus rufus","arenaviridae",NA,0
"7926","Molossus rufus-artoviridae","Molossus rufus","artoviridae",NA,0
"7927","Molossus rufus-astroviridae","Molossus rufus","astroviridae",NA,0
"7928","Molossus rufus-birnaviridae","Molossus rufus","birnaviridae",NA,0
"7929","Molossus rufus-bornaviridae","Molossus rufus","bornaviridae",NA,0
"7930","Molossus rufus-botourmiaviridae","Molossus rufus","botourmiaviridae",NA,0
"7931","Molossus rufus-caliciviridae","Molossus rufus","caliciviridae",NA,0
"7932","Molossus rufus-chuviridae","Molossus rufus","chuviridae",NA,0
"7933","Molossus rufus-circoviridae","Molossus rufus","circoviridae",NA,0
"7934","Molossus rufus-coronaviridae","Molossus rufus","coronaviridae",1,1
"7935","Molossus rufus-filoviridae","Molossus rufus","filoviridae",NA,0
"7936","Molossus rufus-flaviviridae","Molossus rufus","flaviviridae",1,1
"7937","Molossus rufus-geminiviridae","Molossus rufus","geminiviridae",NA,0
"7938","Molossus rufus-genomoviridae","Molossus rufus","genomoviridae",NA,0
"7939","Molossus rufus-hantaviridae","Molossus rufus","hantaviridae",NA,0
"7940","Molossus rufus-hepadnaviridae","Molossus rufus","hepadnaviridae",NA,0
"7941","Molossus rufus-hepeviridae","Molossus rufus","hepeviridae",NA,0
"7942","Molossus rufus-kolmioviridae","Molossus rufus","kolmioviridae",NA,0
"7943","Molossus rufus-mahapunaviridae","Molossus rufus","mahapunaviridae",NA,0
"7944","Molossus rufus-matonaviridae","Molossus rufus","matonaviridae",NA,0
"7945","Molossus rufus-nairoviridae","Molossus rufus","nairoviridae",NA,0
"7946","Molossus rufus-nodaviridae","Molossus rufus","nodaviridae",NA,0
"7947","Molossus rufus-nyamiviridae","Molossus rufus","nyamiviridae",NA,0
"7948","Molossus rufus-orthoherpesviridae","Molossus rufus","orthoherpesviridae",NA,0
"7949","Molossus rufus-orthomyxoviridae","Molossus rufus","orthomyxoviridae",NA,0
"7950","Molossus rufus-papillomaviridae","Molossus rufus","papillomaviridae",NA,0
"7951","Molossus rufus-paramyxoviridae","Molossus rufus","paramyxoviridae",1,1
"7952","Molossus rufus-partitiviridae","Molossus rufus","partitiviridae",NA,0
"7953","Molossus rufus-parvoviridae","Molossus rufus","parvoviridae",NA,0
"7954","Molossus rufus-peribunyaviridae","Molossus rufus","peribunyaviridae",NA,0
"7955","Molossus rufus-phenuiviridae","Molossus rufus","phenuiviridae",NA,0
"7956","Molossus rufus-picobirnaviridae","Molossus rufus","picobirnaviridae",NA,0
"7957","Molossus rufus-picornaviridae","Molossus rufus","picornaviridae",NA,0
"7958","Molossus rufus-polyomaviridae","Molossus rufus","polyomaviridae",NA,0
"7959","Molossus rufus-poxviridae","Molossus rufus","poxviridae",NA,0
"7960","Molossus rufus-qinviridae","Molossus rufus","qinviridae",NA,0
"7961","Molossus rufus-retroviridae","Molossus rufus","retroviridae",NA,0
"7962","Molossus rufus-rhabdoviridae","Molossus rufus","rhabdoviridae",1,1
"7963","Molossus rufus-sedoreoviridae","Molossus rufus","sedoreoviridae",NA,0
"7964","Molossus rufus-smacoviridae","Molossus rufus","smacoviridae",NA,0
"7965","Molossus rufus-spinareoviridae","Molossus rufus","spinareoviridae",NA,0
"7966","Molossus rufus-togaviridae","Molossus rufus","togaviridae",NA,0
"7967","Molossus rufus-totiviridae","Molossus rufus","totiviridae",NA,0
"7968","Molossus rufus-tymoviridae","Molossus rufus","tymoviridae",NA,0
"7969","Molossus sinaloae-adamaviridae","Molossus sinaloae","adamaviridae",NA,0
"7970","Molossus sinaloae-adenoviridae","Molossus sinaloae","adenoviridae",NA,0
"7971","Molossus sinaloae-adintoviridae","Molossus sinaloae","adintoviridae",NA,0
"7972","Molossus sinaloae-anelloviridae","Molossus sinaloae","anelloviridae",NA,0
"7973","Molossus sinaloae-arenaviridae","Molossus sinaloae","arenaviridae",NA,0
"7974","Molossus sinaloae-artoviridae","Molossus sinaloae","artoviridae",NA,0
"7975","Molossus sinaloae-astroviridae","Molossus sinaloae","astroviridae",NA,0
"7976","Molossus sinaloae-birnaviridae","Molossus sinaloae","birnaviridae",NA,0
"7977","Molossus sinaloae-bornaviridae","Molossus sinaloae","bornaviridae",NA,0
"7978","Molossus sinaloae-botourmiaviridae","Molossus sinaloae","botourmiaviridae",NA,0
"7979","Molossus sinaloae-caliciviridae","Molossus sinaloae","caliciviridae",NA,0
"7980","Molossus sinaloae-chuviridae","Molossus sinaloae","chuviridae",NA,0
"7981","Molossus sinaloae-circoviridae","Molossus sinaloae","circoviridae",NA,0
"7982","Molossus sinaloae-coronaviridae","Molossus sinaloae","coronaviridae",NA,0
"7983","Molossus sinaloae-filoviridae","Molossus sinaloae","filoviridae",NA,0
"7984","Molossus sinaloae-flaviviridae","Molossus sinaloae","flaviviridae",1,1
"7985","Molossus sinaloae-geminiviridae","Molossus sinaloae","geminiviridae",NA,0
"7986","Molossus sinaloae-genomoviridae","Molossus sinaloae","genomoviridae",NA,0
"7987","Molossus sinaloae-hantaviridae","Molossus sinaloae","hantaviridae",NA,0
"7988","Molossus sinaloae-hepadnaviridae","Molossus sinaloae","hepadnaviridae",NA,0
"7989","Molossus sinaloae-hepeviridae","Molossus sinaloae","hepeviridae",NA,0
"7990","Molossus sinaloae-kolmioviridae","Molossus sinaloae","kolmioviridae",NA,0
"7991","Molossus sinaloae-mahapunaviridae","Molossus sinaloae","mahapunaviridae",NA,0
"7992","Molossus sinaloae-matonaviridae","Molossus sinaloae","matonaviridae",NA,0
"7993","Molossus sinaloae-nairoviridae","Molossus sinaloae","nairoviridae",NA,0
"7994","Molossus sinaloae-nodaviridae","Molossus sinaloae","nodaviridae",NA,0
"7995","Molossus sinaloae-nyamiviridae","Molossus sinaloae","nyamiviridae",NA,0
"7996","Molossus sinaloae-orthoherpesviridae","Molossus sinaloae","orthoherpesviridae",NA,0
"7997","Molossus sinaloae-orthomyxoviridae","Molossus sinaloae","orthomyxoviridae",NA,0
"7998","Molossus sinaloae-papillomaviridae","Molossus sinaloae","papillomaviridae",NA,0
"7999","Molossus sinaloae-paramyxoviridae","Molossus sinaloae","paramyxoviridae",NA,0
"8000","Molossus sinaloae-partitiviridae","Molossus sinaloae","partitiviridae",NA,0
"8001","Molossus sinaloae-parvoviridae","Molossus sinaloae","parvoviridae",NA,0
"8002","Molossus sinaloae-peribunyaviridae","Molossus sinaloae","peribunyaviridae",NA,0
"8003","Molossus sinaloae-phenuiviridae","Molossus sinaloae","phenuiviridae",NA,0
"8004","Molossus sinaloae-picobirnaviridae","Molossus sinaloae","picobirnaviridae",NA,0
"8005","Molossus sinaloae-picornaviridae","Molossus sinaloae","picornaviridae",NA,0
"8006","Molossus sinaloae-polyomaviridae","Molossus sinaloae","polyomaviridae",NA,0
"8007","Molossus sinaloae-poxviridae","Molossus sinaloae","poxviridae",NA,0
"8008","Molossus sinaloae-qinviridae","Molossus sinaloae","qinviridae",NA,0
"8009","Molossus sinaloae-retroviridae","Molossus sinaloae","retroviridae",NA,0
"8010","Molossus sinaloae-rhabdoviridae","Molossus sinaloae","rhabdoviridae",NA,0
"8011","Molossus sinaloae-sedoreoviridae","Molossus sinaloae","sedoreoviridae",NA,0
"8012","Molossus sinaloae-smacoviridae","Molossus sinaloae","smacoviridae",NA,0
"8013","Molossus sinaloae-spinareoviridae","Molossus sinaloae","spinareoviridae",NA,0
"8014","Molossus sinaloae-togaviridae","Molossus sinaloae","togaviridae",NA,0
"8015","Molossus sinaloae-totiviridae","Molossus sinaloae","totiviridae",NA,0
"8016","Molossus sinaloae-tymoviridae","Molossus sinaloae","tymoviridae",NA,0
"8017","Molossus sp.-adamaviridae","Molossus sp.","adamaviridae",NA,0
"8018","Molossus sp.-adenoviridae","Molossus sp.","adenoviridae",NA,0
"8019","Molossus sp.-adintoviridae","Molossus sp.","adintoviridae",NA,0
"8020","Molossus sp.-anelloviridae","Molossus sp.","anelloviridae",NA,0
"8021","Molossus sp.-arenaviridae","Molossus sp.","arenaviridae",NA,0
"8022","Molossus sp.-artoviridae","Molossus sp.","artoviridae",NA,0
"8023","Molossus sp.-astroviridae","Molossus sp.","astroviridae",NA,0
"8024","Molossus sp.-birnaviridae","Molossus sp.","birnaviridae",NA,0
"8025","Molossus sp.-bornaviridae","Molossus sp.","bornaviridae",NA,0
"8026","Molossus sp.-botourmiaviridae","Molossus sp.","botourmiaviridae",NA,0
"8027","Molossus sp.-caliciviridae","Molossus sp.","caliciviridae",NA,0
"8028","Molossus sp.-chuviridae","Molossus sp.","chuviridae",NA,0
"8029","Molossus sp.-circoviridae","Molossus sp.","circoviridae",NA,0
"8030","Molossus sp.-coronaviridae","Molossus sp.","coronaviridae",1,1
"8031","Molossus sp.-filoviridae","Molossus sp.","filoviridae",NA,0
"8032","Molossus sp.-flaviviridae","Molossus sp.","flaviviridae",NA,0
"8033","Molossus sp.-geminiviridae","Molossus sp.","geminiviridae",NA,0
"8034","Molossus sp.-genomoviridae","Molossus sp.","genomoviridae",NA,0
"8035","Molossus sp.-hantaviridae","Molossus sp.","hantaviridae",NA,0
"8036","Molossus sp.-hepadnaviridae","Molossus sp.","hepadnaviridae",NA,0
"8037","Molossus sp.-hepeviridae","Molossus sp.","hepeviridae",NA,0
"8038","Molossus sp.-kolmioviridae","Molossus sp.","kolmioviridae",NA,0
"8039","Molossus sp.-mahapunaviridae","Molossus sp.","mahapunaviridae",NA,0
"8040","Molossus sp.-matonaviridae","Molossus sp.","matonaviridae",NA,0
"8041","Molossus sp.-nairoviridae","Molossus sp.","nairoviridae",NA,0
"8042","Molossus sp.-nodaviridae","Molossus sp.","nodaviridae",NA,0
"8043","Molossus sp.-nyamiviridae","Molossus sp.","nyamiviridae",NA,0
"8044","Molossus sp.-orthoherpesviridae","Molossus sp.","orthoherpesviridae",NA,0
"8045","Molossus sp.-orthomyxoviridae","Molossus sp.","orthomyxoviridae",NA,0
"8046","Molossus sp.-papillomaviridae","Molossus sp.","papillomaviridae",NA,0
"8047","Molossus sp.-paramyxoviridae","Molossus sp.","paramyxoviridae",1,1
"8048","Molossus sp.-partitiviridae","Molossus sp.","partitiviridae",NA,0
"8049","Molossus sp.-parvoviridae","Molossus sp.","parvoviridae",NA,0
"8050","Molossus sp.-peribunyaviridae","Molossus sp.","peribunyaviridae",NA,0
"8051","Molossus sp.-phenuiviridae","Molossus sp.","phenuiviridae",NA,0
"8052","Molossus sp.-picobirnaviridae","Molossus sp.","picobirnaviridae",NA,0
"8053","Molossus sp.-picornaviridae","Molossus sp.","picornaviridae",NA,0
"8054","Molossus sp.-polyomaviridae","Molossus sp.","polyomaviridae",NA,0
"8055","Molossus sp.-poxviridae","Molossus sp.","poxviridae",NA,0
"8056","Molossus sp.-qinviridae","Molossus sp.","qinviridae",NA,0
"8057","Molossus sp.-retroviridae","Molossus sp.","retroviridae",NA,0
"8058","Molossus sp.-rhabdoviridae","Molossus sp.","rhabdoviridae",1,1
"8059","Molossus sp.-sedoreoviridae","Molossus sp.","sedoreoviridae",NA,0
"8060","Molossus sp.-smacoviridae","Molossus sp.","smacoviridae",NA,0
"8061","Molossus sp.-spinareoviridae","Molossus sp.","spinareoviridae",NA,0
"8062","Molossus sp.-togaviridae","Molossus sp.","togaviridae",NA,0
"8063","Molossus sp.-totiviridae","Molossus sp.","totiviridae",NA,0
"8064","Molossus sp.-tymoviridae","Molossus sp.","tymoviridae",NA,0
"8065","Mops condylurus-adamaviridae","Mops condylurus","adamaviridae",NA,0
"8066","Mops condylurus-adenoviridae","Mops condylurus","adenoviridae",1,1
"8067","Mops condylurus-adintoviridae","Mops condylurus","adintoviridae",NA,0
"8068","Mops condylurus-anelloviridae","Mops condylurus","anelloviridae",NA,0
"8069","Mops condylurus-arenaviridae","Mops condylurus","arenaviridae",NA,0
"8070","Mops condylurus-artoviridae","Mops condylurus","artoviridae",NA,0
"8071","Mops condylurus-astroviridae","Mops condylurus","astroviridae",1,1
"8072","Mops condylurus-birnaviridae","Mops condylurus","birnaviridae",NA,0
"8073","Mops condylurus-bornaviridae","Mops condylurus","bornaviridae",NA,0
"8074","Mops condylurus-botourmiaviridae","Mops condylurus","botourmiaviridae",NA,0
"8075","Mops condylurus-caliciviridae","Mops condylurus","caliciviridae",1,1
"8076","Mops condylurus-chuviridae","Mops condylurus","chuviridae",NA,0
"8077","Mops condylurus-circoviridae","Mops condylurus","circoviridae",NA,0
"8078","Mops condylurus-coronaviridae","Mops condylurus","coronaviridae",1,1
"8079","Mops condylurus-filoviridae","Mops condylurus","filoviridae",1,1
"8080","Mops condylurus-flaviviridae","Mops condylurus","flaviviridae",1,1
"8081","Mops condylurus-geminiviridae","Mops condylurus","geminiviridae",NA,0
"8082","Mops condylurus-genomoviridae","Mops condylurus","genomoviridae",NA,0
"8083","Mops condylurus-hantaviridae","Mops condylurus","hantaviridae",1,1
"8084","Mops condylurus-hepadnaviridae","Mops condylurus","hepadnaviridae",NA,0
"8085","Mops condylurus-hepeviridae","Mops condylurus","hepeviridae",NA,0
"8086","Mops condylurus-kolmioviridae","Mops condylurus","kolmioviridae",NA,0
"8087","Mops condylurus-mahapunaviridae","Mops condylurus","mahapunaviridae",NA,0
"8088","Mops condylurus-matonaviridae","Mops condylurus","matonaviridae",NA,0
"8089","Mops condylurus-nairoviridae","Mops condylurus","nairoviridae",NA,0
"8090","Mops condylurus-nodaviridae","Mops condylurus","nodaviridae",NA,0
"8091","Mops condylurus-nyamiviridae","Mops condylurus","nyamiviridae",NA,0
"8092","Mops condylurus-orthoherpesviridae","Mops condylurus","orthoherpesviridae",NA,0
"8093","Mops condylurus-orthomyxoviridae","Mops condylurus","orthomyxoviridae",NA,0
"8094","Mops condylurus-papillomaviridae","Mops condylurus","papillomaviridae",1,1
"8095","Mops condylurus-paramyxoviridae","Mops condylurus","paramyxoviridae",1,1
"8096","Mops condylurus-partitiviridae","Mops condylurus","partitiviridae",NA,0
"8097","Mops condylurus-parvoviridae","Mops condylurus","parvoviridae",1,1
"8098","Mops condylurus-peribunyaviridae","Mops condylurus","peribunyaviridae",NA,0
"8099","Mops condylurus-phenuiviridae","Mops condylurus","phenuiviridae",NA,0
"8100","Mops condylurus-picobirnaviridae","Mops condylurus","picobirnaviridae",NA,0
"8101","Mops condylurus-picornaviridae","Mops condylurus","picornaviridae",NA,0
"8102","Mops condylurus-polyomaviridae","Mops condylurus","polyomaviridae",1,1
"8103","Mops condylurus-poxviridae","Mops condylurus","poxviridae",NA,0
"8104","Mops condylurus-qinviridae","Mops condylurus","qinviridae",NA,0
"8105","Mops condylurus-retroviridae","Mops condylurus","retroviridae",NA,0
"8106","Mops condylurus-rhabdoviridae","Mops condylurus","rhabdoviridae",NA,0
"8107","Mops condylurus-sedoreoviridae","Mops condylurus","sedoreoviridae",NA,0
