"","fam_links","Host","VirusFamily","association","status"
"105","Anoura geoffroyi-bornaviridae","Anoura geoffroyi","bornaviridae",NA,0
"106","Anoura geoffroyi-botourmiaviridae","Anoura geoffroyi","botourmiaviridae",NA,0
"107","Anoura geoffroyi-caliciviridae","Anoura geoffroyi","caliciviridae",NA,0
"108","Anoura geoffroyi-chuviridae","Anoura geoffroyi","chuviridae",NA,0
"109","Anoura geoffroyi-circoviridae","Anoura geoffroyi","circoviridae",NA,0
"110","Anoura geoffroyi-coronaviridae","Anoura geoffroyi","coronaviridae",NA,0
"111","Anoura geoffroyi-filoviridae","Anoura geoffroyi","filoviridae",NA,0
"112","Anoura geoffroyi-flaviviridae","Anoura geoffroyi","flaviviridae",NA,0
"113","Anoura geoffroyi-geminiviridae","Anoura geoffroyi","geminiviridae",NA,0
"114","Anoura geoffroyi-genomoviridae","Anoura geoffroyi","genomoviridae",NA,0
"115","Anoura geoffroyi-hantaviridae","Anoura geoffroyi","hantaviridae",NA,0
"116","Anoura geoffroyi-hepadnaviridae","Anoura geoffroyi","hepadnaviridae",NA,0
"117","Anoura geoffroyi-hepeviridae","Anoura geoffroyi","hepeviridae",NA,0
"118","Anoura geoffroyi-kolmioviridae","Anoura geoffroyi","kolmioviridae",NA,0
"119","Anoura geoffroyi-mahapunaviridae","Anoura geoffroyi","mahapunaviridae",NA,0
"120","Anoura geoffroyi-matonaviridae","Anoura geoffroyi","matonaviridae",NA,0
"121","Anoura geoffroyi-nairoviridae","Anoura geoffroyi","nairoviridae",NA,0
"122","Anoura geoffroyi-nodaviridae","Anoura geoffroyi","nodaviridae",NA,0
"123","Anoura geoffroyi-nyamiviridae","Anoura geoffroyi","nyamiviridae",NA,0
"124","Anoura geoffroyi-orthoherpesviridae","Anoura geoffroyi","orthoherpesviridae",1,1
"125","Anoura geoffroyi-orthomyxoviridae","Anoura geoffroyi","orthomyxoviridae",NA,0
"126","Anoura geoffroyi-papillomaviridae","Anoura geoffroyi","papillomaviridae",NA,0
"127","Anoura geoffroyi-paramyxoviridae","Anoura geoffroyi","paramyxoviridae",NA,0
"128","Anoura geoffroyi-partitiviridae","Anoura geoffroyi","partitiviridae",NA,0
"129","Anoura geoffroyi-parvoviridae","Anoura geoffroyi","parvoviridae",NA,0
"130","Anoura geoffroyi-peribunyaviridae","Anoura geoffroyi","peribunyaviridae",NA,0
"131","Anoura geoffroyi-phenuiviridae","Anoura geoffroyi","phenuiviridae",NA,0
"132","Anoura geoffroyi-picobirnaviridae","Anoura geoffroyi","picobirnaviridae",NA,0
"133","Anoura geoffroyi-picornaviridae","Anoura geoffroyi","picornaviridae",NA,0
"134","Anoura geoffroyi-polyomaviridae","Anoura geoffroyi","polyomaviridae",NA,0
"135","Anoura geoffroyi-poxviridae","Anoura geoffroyi","poxviridae",NA,0
"136","Anoura geoffroyi-qinviridae","Anoura geoffroyi","qinviridae",NA,0
"137","Anoura geoffroyi-retroviridae","Anoura geoffroyi","retroviridae",NA,0
"138","Anoura geoffroyi-rhabdoviridae","Anoura geoffroyi","rhabdoviridae",NA,0
"139","Anoura geoffroyi-sedoreoviridae","Anoura geoffroyi","sedoreoviridae",NA,0
"140","Anoura geoffroyi-smacoviridae","Anoura geoffroyi","smacoviridae",NA,0
"141","Anoura geoffroyi-spinareoviridae","Anoura geoffroyi","spinareoviridae",NA,0
"142","Anoura geoffroyi-togaviridae","Anoura geoffroyi","togaviridae",NA,0
"143","Anoura geoffroyi-totiviridae","Anoura geoffroyi","totiviridae",NA,0
"144","Anoura geoffroyi-tymoviridae","Anoura geoffroyi","tymoviridae",NA,0
"145","Antrozous pallidus-adamaviridae","Antrozous pallidus","adamaviridae",NA,0
"146","Antrozous pallidus-adenoviridae","Antrozous pallidus","adenoviridae",NA,0
"147","Antrozous pallidus-adintoviridae","Antrozous pallidus","adintoviridae",NA,0
"148","Antrozous pallidus-anelloviridae","Antrozous pallidus","anelloviridae",NA,0
"149","Antrozous pallidus-arenaviridae","Antrozous pallidus","arenaviridae",NA,0
"150","Antrozous pallidus-artoviridae","Antrozous pallidus","artoviridae",NA,0
"151","Antrozous pallidus-astroviridae","Antrozous pallidus","astroviridae",NA,0
"152","Antrozous pallidus-birnaviridae","Antrozous pallidus","birnaviridae",NA,0
"153","Antrozous pallidus-bornaviridae","Antrozous pallidus","bornaviridae",NA,0
"154","Antrozous pallidus-botourmiaviridae","Antrozous pallidus","botourmiaviridae",NA,0
"155","Antrozous pallidus-caliciviridae","Antrozous pallidus","caliciviridae",NA,0
"156","Antrozous pallidus-chuviridae","Antrozous pallidus","chuviridae",NA,0
"157","Antrozous pallidus-circoviridae","Antrozous pallidus","circoviridae",NA,0
"158","Antrozous pallidus-coronaviridae","Antrozous pallidus","coronaviridae",NA,0
"159","Antrozous pallidus-filoviridae","Antrozous pallidus","filoviridae",NA,0
"160","Antrozous pallidus-flaviviridae","Antrozous pallidus","flaviviridae",NA,0
"161","Antrozous pallidus-geminiviridae","Antrozous pallidus","geminiviridae",NA,0
"162","Antrozous pallidus-genomoviridae","Antrozous pallidus","genomoviridae",NA,0
"163","Antrozous pallidus-hantaviridae","Antrozous pallidus","hantaviridae",NA,0
"164","Antrozous pallidus-hepadnaviridae","Antrozous pallidus","hepadnaviridae",NA,0
"165","Antrozous pallidus-hepeviridae","Antrozous pallidus","hepeviridae",NA,0
"166","Antrozous pallidus-kolmioviridae","Antrozous pallidus","kolmioviridae",NA,0
"167","Antrozous pallidus-mahapunaviridae","Antrozous pallidus","mahapunaviridae",NA,0
"168","Antrozous pallidus-matonaviridae","Antrozous pallidus","matonaviridae",NA,0
"169","Antrozous pallidus-nairoviridae","Antrozous pallidus","nairoviridae",NA,0
"170","Antrozous pallidus-nodaviridae","Antrozous pallidus","nodaviridae",NA,0
"171","Antrozous pallidus-nyamiviridae","Antrozous pallidus","nyamiviridae",NA,0
"172","Antrozous pallidus-orthoherpesviridae","Antrozous pallidus","orthoherpesviridae",NA,0
"173","Antrozous pallidus-orthomyxoviridae","Antrozous pallidus","orthomyxoviridae",NA,0
"174","Antrozous pallidus-papillomaviridae","Antrozous pallidus","papillomaviridae",NA,0
"175","Antrozous pallidus-paramyxoviridae","Antrozous pallidus","paramyxoviridae",1,1
"176","Antrozous pallidus-partitiviridae","Antrozous pallidus","partitiviridae",NA,0
"177","Antrozous pallidus-parvoviridae","Antrozous pallidus","parvoviridae",NA,0
"178","Antrozous pallidus-peribunyaviridae","Antrozous pallidus","peribunyaviridae",NA,0
"179","Antrozous pallidus-phenuiviridae","Antrozous pallidus","phenuiviridae",NA,0
"180","Antrozous pallidus-picobirnaviridae","Antrozous pallidus","picobirnaviridae",NA,0
"181","Antrozous pallidus-picornaviridae","Antrozous pallidus","picornaviridae",NA,0
"182","Antrozous pallidus-polyomaviridae","Antrozous pallidus","polyomaviridae",NA,0
"183","Antrozous pallidus-poxviridae","Antrozous pallidus","poxviridae",NA,0
"184","Antrozous pallidus-qinviridae","Antrozous pallidus","qinviridae",NA,0
"185","Antrozous pallidus-retroviridae","Antrozous pallidus","retroviridae",NA,0
"186","Antrozous pallidus-rhabdoviridae","Antrozous pallidus","rhabdoviridae",1,1
"187","Antrozous pallidus-sedoreoviridae","Antrozous pallidus","sedoreoviridae",NA,0
"188","Antrozous pallidus-smacoviridae","Antrozous pallidus","smacoviridae",NA,0
"189","Antrozous pallidus-spinareoviridae","Antrozous pallidus","spinareoviridae",NA,0
"190","Antrozous pallidus-togaviridae","Antrozous pallidus","togaviridae",NA,0
"191","Antrozous pallidus-totiviridae","Antrozous pallidus","totiviridae",NA,0
"192","Antrozous pallidus-tymoviridae","Antrozous pallidus","tymoviridae",NA,0
"193","Ardops nichollsi-adamaviridae","Ardops nichollsi","adamaviridae",NA,0
"194","Ardops nichollsi-adenoviridae","Ardops nichollsi","adenoviridae",NA,0
"195","Ardops nichollsi-adintoviridae","Ardops nichollsi","adintoviridae",NA,0
"196","Ardops nichollsi-anelloviridae","Ardops nichollsi","anelloviridae",NA,0
"197","Ardops nichollsi-arenaviridae","Ardops nichollsi","arenaviridae",NA,0
"198","Ardops nichollsi-artoviridae","Ardops nichollsi","artoviridae",NA,0
"199","Ardops nichollsi-astroviridae","Ardops nichollsi","astroviridae",NA,0
"200","Ardops nichollsi-birnaviridae","Ardops nichollsi","birnaviridae",NA,0
"201","Ardops nichollsi-bornaviridae","Ardops nichollsi","bornaviridae",NA,0
"202","Ardops nichollsi-botourmiaviridae","Ardops nichollsi","botourmiaviridae",NA,0
"203","Ardops nichollsi-caliciviridae","Ardops nichollsi","caliciviridae",NA,0
"204","Ardops nichollsi-chuviridae","Ardops nichollsi","chuviridae",NA,0
"205","Ardops nichollsi-circoviridae","Ardops nichollsi","circoviridae",NA,0
"206","Ardops nichollsi-coronaviridae","Ardops nichollsi","coronaviridae",NA,0
"207","Ardops nichollsi-filoviridae","Ardops nichollsi","filoviridae",NA,0
"208","Ardops nichollsi-flaviviridae","Ardops nichollsi","flaviviridae",NA,0
"209","Ardops nichollsi-geminiviridae","Ardops nichollsi","geminiviridae",NA,0
"210","Ardops nichollsi-genomoviridae","Ardops nichollsi","genomoviridae",NA,0
"211","Ardops nichollsi-hantaviridae","Ardops nichollsi","hantaviridae",NA,0
"212","Ardops nichollsi-hepadnaviridae","Ardops nichollsi","hepadnaviridae",NA,0
"213","Ardops nichollsi-hepeviridae","Ardops nichollsi","hepeviridae",NA,0
"214","Ardops nichollsi-kolmioviridae","Ardops nichollsi","kolmioviridae",NA,0
"215","Ardops nichollsi-mahapunaviridae","Ardops nichollsi","mahapunaviridae",NA,0
"216","Ardops nichollsi-matonaviridae","Ardops nichollsi","matonaviridae",NA,0
"217","Ardops nichollsi-nairoviridae","Ardops nichollsi","nairoviridae",NA,0
"218","Ardops nichollsi-nodaviridae","Ardops nichollsi","nodaviridae",NA,0
"219","Ardops nichollsi-nyamiviridae","Ardops nichollsi","nyamiviridae",NA,0
"220","Ardops nichollsi-orthoherpesviridae","Ardops nichollsi","orthoherpesviridae",1,1
"221","Ardops nichollsi-orthomyxoviridae","Ardops nichollsi","orthomyxoviridae",NA,0
"222","Ardops nichollsi-papillomaviridae","Ardops nichollsi","papillomaviridae",NA,0
"223","Ardops nichollsi-paramyxoviridae","Ardops nichollsi","paramyxoviridae",NA,0
