"sp_links","Host","Virus","VirusFamily","zoonotic","fam_links"
"Hipposideros diadema-paramyxovirus predict_pmv-73","Hipposideros diadema","paramyxovirus predict_pmv-73","paramyxoviridae",0,"Hipposideros diadema-paramyxoviridae"
"Hipposideros galeritus-adenovirus predict_adv-66","Hipposideros galeritus","adenovirus predict_adv-66","adenoviridae",0,"Hipposideros galeritus-adenoviridae"
"Hipposideros galeritus-coronavirus predict cov-51","Hipposideros galeritus","coronavirus predict cov-51","coronaviridae",0,"Hipposideros galeritus-coronaviridae"
"Hipposideros galeritus-paramyxovirus predict_pmv-74","Hipposideros galeritus","paramyxovirus predict_pmv-74","paramyxoviridae",0,"Hipposideros galeritus-paramyxoviridae"
"Hipposideros galeritus-paramyxovirus predict_pmv-75","Hipposideros galeritus","paramyxovirus predict_pmv-75","paramyxoviridae",0,"Hipposideros galeritus-paramyxoviridae"
"Hipposideros larvatus-bat coronavirus hipposideros/kt/thailand/2007","Hipposideros larvatus","bat coronavirus hipposideros/kt/thailand/2007","coronaviridae",0,"Hipposideros larvatus-coronaviridae"
"Hipposideros larvatus-bat coronavirus hipposideros/ratcha-67/tha/2007","Hipposideros larvatus","bat coronavirus hipposideros/ratcha-67/tha/2007","coronaviridae",0,"Hipposideros larvatus-coronaviridae"
"Hipposideros larvatus-coronavirus predict cov-53","Hipposideros larvatus","coronavirus predict cov-53","coronaviridae",0,"Hipposideros larvatus-coronaviridae"
"Hipposideros larvatus-miniopterus schreibersii astrovirus 4","Hipposideros larvatus","miniopterus schreibersii astrovirus 4","astroviridae",0,"Hipposideros larvatus-astroviridae"
"Hipposideros larvatus-paramyxovirus predict_pmv-48","Hipposideros larvatus","paramyxovirus predict_pmv-48","paramyxoviridae",0,"Hipposideros larvatus-paramyxoviridae"
"Hipposideros larvatus-rousettus bat coronavirus hku9","Hipposideros larvatus","rousettus bat coronavirus hku9","coronaviridae",0,"Hipposideros larvatus-coronaviridae"
"Hipposideros lekaguli-bat astrovirus tm/guangxi/ld145/2007","Hipposideros lekaguli","bat astrovirus tm/guangxi/ld145/2007","astroviridae",0,"Hipposideros lekaguli-astroviridae"
"Hipposideros lekaguli-bat astrovirus tm/guangxi/ld39/2007","Hipposideros lekaguli","bat astrovirus tm/guangxi/ld39/2007","astroviridae",0,"Hipposideros lekaguli-astroviridae"
"Hipposideros lekaguli-bat astrovirus tm/guangxi/ld46/2007","Hipposideros lekaguli","bat astrovirus tm/guangxi/ld46/2007","astroviridae",0,"Hipposideros lekaguli-astroviridae"
"Hipposideros lekaguli-bat coronavirus 1","Hipposideros lekaguli","bat coronavirus 1","coronaviridae",0,"Hipposideros lekaguli-coronaviridae"
"Hipposideros lekaguli-bat coronavirus hku10","Hipposideros lekaguli","bat coronavirus hku10","coronaviridae",0,"Hipposideros lekaguli-coronaviridae"
"Hipposideros lekaguli-coronavirus predict cov-27","Hipposideros lekaguli","coronavirus predict cov-27","coronaviridae",0,"Hipposideros lekaguli-coronaviridae"
