"sp_links","Host","Virus","VirusFamily","zoonotic","fam_links"
"Miniopterus pusillus-minunacovirus sp.","Miniopterus pusillus","minunacovirus sp.","coronaviridae",0,"Miniopterus pusillus-coronaviridae"
"Miniopterus pusillus-partitiviridae sp.","Miniopterus pusillus","partitiviridae sp.","partitiviridae",0,"Miniopterus pusillus-partitiviridae"
"Miniopterus pusillus-picornaviridae sp.","Miniopterus pusillus","picornaviridae sp.","picornaviridae",1,"Miniopterus pusillus-picornaviridae"
"Miniopterus pusillus-rhabdoviridae sp.","Miniopterus pusillus","rhabdoviridae sp.","rhabdoviridae",0,"Miniopterus pusillus-rhabdoviridae"
"Miniopterus pusillus-rhabdovirus sp.","Miniopterus pusillus","rhabdovirus sp.","rhabdoviridae",0,"Miniopterus pusillus-rhabdoviridae"
"Miniopterus pusillus-totiviridae sp.","Miniopterus pusillus","totiviridae sp.","totiviridae",0,"Miniopterus pusillus-totiviridae"
"Miniopterus schreibersii-alphacoronavirus miniopteri","Miniopterus schreibersii","alphacoronavirus miniopteri","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-alphacoronavirus pusilli","Miniopterus schreibersii","alphacoronavirus pusilli","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-alphacoronavirus sp.","Miniopterus schreibersii","alphacoronavirus sp.","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-alphapolyomavirus mischreibersii","Miniopterus schreibersii","alphapolyomavirus mischreibersii","polyomaviridae",0,"Miniopterus schreibersii-polyomaviridae"
"Miniopterus schreibersii-alphapolyomavirus secumischreibersii","Miniopterus schreibersii","alphapolyomavirus secumischreibersii","polyomaviridae",0,"Miniopterus schreibersii-polyomaviridae"
"Miniopterus schreibersii-bat alphacoronavirus","Miniopterus schreibersii","bat alphacoronavirus","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-bat associated circovirus","Miniopterus schreibersii","bat associated circovirus","circoviridae",0,"Miniopterus schreibersii-circoviridae"
"Miniopterus schreibersii-bat astrovirus","Miniopterus schreibersii","bat astrovirus","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-bat astrovirus 1","Miniopterus schreibersii","bat astrovirus 1","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-bat bocavirus","Miniopterus schreibersii","bat bocavirus","parvoviridae",0,"Miniopterus schreibersii-parvoviridae"
"Miniopterus schreibersii-bat circovirus","Miniopterus schreibersii","bat circovirus","circoviridae",0,"Miniopterus schreibersii-circoviridae"
"Miniopterus schreibersii-bat coronavirus","Miniopterus schreibersii","bat coronavirus","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-bat hepatovirus","Miniopterus schreibersii","bat hepatovirus","picornaviridae",0,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-bat mischivirus 4","Miniopterus schreibersii","bat mischivirus 4","picornaviridae",0,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-bat picornavirus 1","Miniopterus schreibersii","bat picornavirus 1","picornaviridae",0,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-bat polyomavirus","Miniopterus schreibersii","bat polyomavirus","polyomaviridae",0,"Miniopterus schreibersii-polyomaviridae"
"Miniopterus schreibersii-bat-associated fijivirus","Miniopterus schreibersii","bat-associated fijivirus","spinareoviridae",0,"Miniopterus schreibersii-spinareoviridae"
"Miniopterus schreibersii-bat-associated rotavirus","Miniopterus schreibersii","bat-associated rotavirus","sedoreoviridae",0,"Miniopterus schreibersii-sedoreoviridae"
"Miniopterus schreibersii-betacoronavirus pandemicum","Miniopterus schreibersii","betacoronavirus pandemicum","coronaviridae",1,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-bocaparvovirus chiropteran4","Miniopterus schreibersii","bocaparvovirus chiropteran4","parvoviridae",0,"Miniopterus schreibersii-parvoviridae"
"Miniopterus schreibersii-chuviridae sp.","Miniopterus schreibersii","chuviridae sp.","chuviridae",0,"Miniopterus schreibersii-chuviridae"
"Miniopterus schreibersii-circovirus sp.","Miniopterus schreibersii","circovirus sp.","circoviridae",0,"Miniopterus schreibersii-circoviridae"
"Miniopterus schreibersii-colacovirus sp.","Miniopterus schreibersii","colacovirus sp.","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-cuevavirus lloviuense","Miniopterus schreibersii","cuevavirus lloviuense","filoviridae",0,"Miniopterus schreibersii-filoviridae"
"Miniopterus schreibersii-cyclovirus sp.","Miniopterus schreibersii","cyclovirus sp.","circoviridae",1,"Miniopterus schreibersii-circoviridae"
"Miniopterus schreibersii-dependoparvovirus chiropteran1","Miniopterus schreibersii","dependoparvovirus chiropteran1","parvoviridae",0,"Miniopterus schreibersii-parvoviridae"
"Miniopterus schreibersii-dyotaupapillomavirus 1","Miniopterus schreibersii","dyotaupapillomavirus 1","papillomaviridae",0,"Miniopterus schreibersii-papillomaviridae"
"Miniopterus schreibersii-genomoviridae sp.","Miniopterus schreibersii","genomoviridae sp.","genomoviridae",1,"Miniopterus schreibersii-genomoviridae"
"Miniopterus schreibersii-hamaparvovirinae sp.","Miniopterus schreibersii","hamaparvovirinae sp.","parvoviridae",0,"Miniopterus schreibersii-parvoviridae"
"Miniopterus schreibersii-jeilongvirus anhuiense","Miniopterus schreibersii","jeilongvirus anhuiense","paramyxoviridae",0,"Miniopterus schreibersii-paramyxoviridae"
"Miniopterus schreibersii-jeilongvirus murinae","Miniopterus schreibersii","jeilongvirus murinae","paramyxoviridae",0,"Miniopterus schreibersii-paramyxoviridae"
"Miniopterus schreibersii-jingmen bat astrovirus 2","Miniopterus schreibersii","jingmen bat astrovirus 2","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-jingmen bat astrovirus 3","Miniopterus schreibersii","jingmen bat astrovirus 3","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-jingmen bat astrovirus 4","Miniopterus schreibersii","jingmen bat astrovirus 4","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-jingmen bat astrovirus 5","Miniopterus schreibersii","jingmen bat astrovirus 5","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-jingmen bat astrovirus 6","Miniopterus schreibersii","jingmen bat astrovirus 6","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-jingmen bat astrovirus 7","Miniopterus schreibersii","jingmen bat astrovirus 7","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-jingmen bat bastrovirus 1","Miniopterus schreibersii","jingmen bat bastrovirus 1","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-kobuvirus sp.","Miniopterus schreibersii","kobuvirus sp.","picornaviridae",1,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-lyssavirus caucasicus","Miniopterus schreibersii","lyssavirus caucasicus","rhabdoviridae",0,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus schreibersii-lyssavirus duvenhage","Miniopterus schreibersii","lyssavirus duvenhage","rhabdoviridae",1,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus schreibersii-lyssavirus hamburg","Miniopterus schreibersii","lyssavirus hamburg","rhabdoviridae",1,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus schreibersii-lyssavirus helsinki","Miniopterus schreibersii","lyssavirus helsinki","rhabdoviridae",1,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus schreibersii-lyssavirus lleida","Miniopterus schreibersii","lyssavirus lleida","rhabdoviridae",0,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus schreibersii-mamastrovirus pusilli","Miniopterus schreibersii","mamastrovirus pusilli","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-mamastrovirus sp.","Miniopterus schreibersii","mamastrovirus sp.","astroviridae",1,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-mamastrovirus taphozoi","Miniopterus schreibersii","mamastrovirus taphozoi","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-mammalian orthoreovirus","Miniopterus schreibersii","mammalian orthoreovirus","spinareoviridae",1,"Miniopterus schreibersii-spinareoviridae"
"Miniopterus schreibersii-miniopterus schreibersi polyomavirus 3","Miniopterus schreibersii","miniopterus schreibersi polyomavirus 3","polyomaviridae",0,"Miniopterus schreibersii-polyomaviridae"
"Miniopterus schreibersii-miniopterus schreibersi polyomavirus 4","Miniopterus schreibersii","miniopterus schreibersi polyomavirus 4","polyomaviridae",0,"Miniopterus schreibersii-polyomaviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 1","Miniopterus schreibersii","miniopterus schreibersii astrovirus 1","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 10","Miniopterus schreibersii","miniopterus schreibersii astrovirus 10","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 11","Miniopterus schreibersii","miniopterus schreibersii astrovirus 11","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 12","Miniopterus schreibersii","miniopterus schreibersii astrovirus 12","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 13","Miniopterus schreibersii","miniopterus schreibersii astrovirus 13","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 2","Miniopterus schreibersii","miniopterus schreibersii astrovirus 2","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 3","Miniopterus schreibersii","miniopterus schreibersii astrovirus 3","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 4","Miniopterus schreibersii","miniopterus schreibersii astrovirus 4","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 5","Miniopterus schreibersii","miniopterus schreibersii astrovirus 5","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 6","Miniopterus schreibersii","miniopterus schreibersii astrovirus 6","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 7","Miniopterus schreibersii","miniopterus schreibersii astrovirus 7","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 8","Miniopterus schreibersii","miniopterus schreibersii astrovirus 8","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii astrovirus 9","Miniopterus schreibersii","miniopterus schreibersii astrovirus 9","astroviridae",0,"Miniopterus schreibersii-astroviridae"
"Miniopterus schreibersii-miniopterus schreibersii bat coronavirus 1-related","Miniopterus schreibersii","miniopterus schreibersii bat coronavirus 1-related","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-miniopterus schreibersii betaherpesvirus 2","Miniopterus schreibersii","miniopterus schreibersii betaherpesvirus 2","orthoherpesviridae",0,"Miniopterus schreibersii-orthoherpesviridae"
"Miniopterus schreibersii-miniopterus schreibersii betaherpesvirus 3","Miniopterus schreibersii","miniopterus schreibersii betaherpesvirus 3","orthoherpesviridae",0,"Miniopterus schreibersii-orthoherpesviridae"
"Miniopterus schreibersii-miniopterus schreibersii gammaherpesvirus 1","Miniopterus schreibersii","miniopterus schreibersii gammaherpesvirus 1","orthoherpesviridae",0,"Miniopterus schreibersii-orthoherpesviridae"
"Miniopterus schreibersii-miniopterus schreibersii parvovirus","Miniopterus schreibersii","miniopterus schreibersii parvovirus","parvoviridae",0,"Miniopterus schreibersii-parvoviridae"
"Miniopterus schreibersii-miniopterus schreibersii rhabdovirus 1","Miniopterus schreibersii","miniopterus schreibersii rhabdovirus 1","rhabdoviridae",0,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus schreibersii-mischivirus a","Miniopterus schreibersii","mischivirus a","picornaviridae",0,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-mischivirus sp.","Miniopterus schreibersii","mischivirus sp.","picornaviridae",0,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-myotacovirus sp.","Miniopterus schreibersii","myotacovirus sp.","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-orthocoronavirinae sp.","Miniopterus schreibersii","orthocoronavirinae sp.","coronaviridae",0,"Miniopterus schreibersii-coronaviridae"
"Miniopterus schreibersii-orthoflavivirus japonicum","Miniopterus schreibersii","orthoflavivirus japonicum","flaviviridae",1,"Miniopterus schreibersii-flaviviridae"
"Miniopterus schreibersii-orthoflavivirus yokoseense","Miniopterus schreibersii","orthoflavivirus yokoseense","flaviviridae",0,"Miniopterus schreibersii-flaviviridae"
"Miniopterus schreibersii-partitiviridae sp.","Miniopterus schreibersii","partitiviridae sp.","partitiviridae",0,"Miniopterus schreibersii-partitiviridae"
"Miniopterus schreibersii-peribunyaviridae sp.","Miniopterus schreibersii","peribunyaviridae sp.","peribunyaviridae",0,"Miniopterus schreibersii-peribunyaviridae"
"Miniopterus schreibersii-phenuiviridae sp.","Miniopterus schreibersii","phenuiviridae sp.","phenuiviridae",0,"Miniopterus schreibersii-phenuiviridae"
"Miniopterus schreibersii-phlebovirus riftense","Miniopterus schreibersii","phlebovirus riftense","phenuiviridae",1,"Miniopterus schreibersii-phenuiviridae"
"Miniopterus schreibersii-picornaviridae sp.","Miniopterus schreibersii","picornaviridae sp.","picornaviridae",1,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-quwivirus miniopteridbeta1","Miniopterus schreibersii","quwivirus miniopteridbeta1","orthoherpesviridae",0,"Miniopterus schreibersii-orthoherpesviridae"
"Miniopterus schreibersii-rhabdoviridae sp.","Miniopterus schreibersii","rhabdoviridae sp.","rhabdoviridae",0,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus schreibersii-schreiber's bent-winged bat adenovirus","Miniopterus schreibersii","schreiber's bent-winged bat adenovirus","adenoviridae",0,"Miniopterus schreibersii-adenoviridae"
"Miniopterus schreibersii-schreibers's long-fingered bat gammaherpesvirus","Miniopterus schreibersii","schreibers's long-fingered bat gammaherpesvirus","orthoherpesviridae",0,"Miniopterus schreibersii-orthoherpesviridae"
"Miniopterus schreibersii-shanbavirus aminfuli","Miniopterus schreibersii","shanbavirus aminfuli","picornaviridae",0,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-shanbavirus sp.","Miniopterus schreibersii","shanbavirus sp.","picornaviridae",0,"Miniopterus schreibersii-picornaviridae"
"Miniopterus schreibersii-tadarida brasiliensis betaherpesvirus 2","Miniopterus schreibersii","tadarida brasiliensis betaherpesvirus 2","orthoherpesviridae",0,"Miniopterus schreibersii-orthoherpesviridae"
"Miniopterus schreibersii-totiviridae sp.","Miniopterus schreibersii","totiviridae sp.","totiviridae",0,"Miniopterus schreibersii-totiviridae"
"Miniopterus schreibersii-vesiculovirus mediterranean","Miniopterus schreibersii","vesiculovirus mediterranean","rhabdoviridae",0,"Miniopterus schreibersii-rhabdoviridae"
"Miniopterus sororculus-astrovirus sp.","Miniopterus sororculus","astrovirus sp.","astroviridae",1,"Miniopterus sororculus-astroviridae"
"Miniopterus sororculus-jeilongvirus murinae","Miniopterus sororculus","jeilongvirus murinae","paramyxoviridae",0,"Miniopterus sororculus-paramyxoviridae"
"Miniopterus sororculus-miniopterus sororculus paramyxovirus","Miniopterus sororculus","miniopterus sororculus paramyxovirus","paramyxoviridae",0,"Miniopterus sororculus-paramyxoviridae"
"Miniopterus sp.-alphacoronavirus miniopteri","Miniopterus sp.","alphacoronavirus miniopteri","coronaviridae",0,"Miniopterus sp.-coronaviridae"
"Miniopterus sp.-alphacoronavirus pusilli","Miniopterus sp.","alphacoronavirus pusilli","coronaviridae",0,"Miniopterus sp.-coronaviridae"
"Miniopterus sp.-genomoviridae sp.","Miniopterus sp.","genomoviridae sp.","genomoviridae",1,"Miniopterus sp.-genomoviridae"
"Molossops neglectus-lyssavirus rabies","Molossops neglectus","lyssavirus rabies","rhabdoviridae",1,"Molossops neglectus-rhabdoviridae"
"Molossus coibensis-molossus coibensis gammaherpesvirus 1","Molossus coibensis","molossus coibensis gammaherpesvirus 1","orthoherpesviridae",0,"Molossus coibensis-orthoherpesviridae"
"Molossus molossus-alphacoronavirus sp.","Molossus molossus","alphacoronavirus sp.","coronaviridae",0,"Molossus molossus-coronaviridae"
"Molossus molossus-alphapolyomavirus molossi","Molossus molossus","alphapolyomavirus molossi","polyomaviridae",0,"Molossus molossus-polyomaviridae"
"Molossus molossus-anellovirus molossus2132","Molossus molossus","anellovirus molossus2132","anelloviridae",0,"Molossus molossus-anelloviridae"
"Molossus molossus-anellovirus molossus2238","Molossus molossus","anellovirus molossus2238","anelloviridae",0,"Molossus molossus-anelloviridae"
"Molossus molossus-anellovirus molossus2401","Molossus molossus","anellovirus molossus2401","anelloviridae",0,"Molossus molossus-anelloviridae"
"Molossus molossus-anellovirus molossus2529","Molossus molossus","anellovirus molossus2529","anelloviridae",0,"Molossus molossus-anelloviridae"
"Molossus molossus-anellovirus molossus2919","Molossus molossus","anellovirus molossus2919","anelloviridae",0,"Molossus molossus-anelloviridae"
"Molossus molossus-anellovirus molossus3200","Molossus molossus","anellovirus molossus3200","anelloviridae",0,"Molossus molossus-anelloviridae"
"Molossus molossus-bat alphacoronavirus","Molossus molossus","bat alphacoronavirus","coronaviridae",0,"Molossus molossus-coronaviridae"
"Molossus molossus-bat associated gemycircularvirus 1","Molossus molossus","bat associated gemycircularvirus 1","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-bat associated gemykibivirus 1","Molossus molossus","bat associated gemykibivirus 1","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-bat associated gemykibivirus 2","Molossus molossus","bat associated gemykibivirus 2","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-bat associated gemykronzavirus 2","Molossus molossus","bat associated gemykronzavirus 2","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-bat coronavirus","Molossus molossus","bat coronavirus","coronaviridae",0,"Molossus molossus-coronaviridae"
"Molossus molossus-bat mastadenovirus","Molossus molossus","bat mastadenovirus","adenoviridae",0,"Molossus molossus-adenoviridae"
"Molossus molossus-betacoronavirus cameli","Molossus molossus","betacoronavirus cameli","coronaviridae",1,"Molossus molossus-coronaviridae"
"Molossus molossus-betaherpesvirinae sp.","Molossus molossus","betaherpesvirinae sp.","orthoherpesviridae",0,"Molossus molossus-orthoherpesviridae"
"Molossus molossus-cyclovirus murcielago","Molossus molossus","cyclovirus murcielago","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-jeilongvirus murinae","Molossus molossus","jeilongvirus murinae","paramyxoviridae",0,"Molossus molossus-paramyxoviridae"
"Molossus molossus-lyssavirus rabies","Molossus molossus","lyssavirus rabies","rhabdoviridae",1,"Molossus molossus-rhabdoviridae"
"Molossus molossus-molossid bat morbillivirus","Molossus molossus","molossid bat morbillivirus","paramyxoviridae",0,"Molossus molossus-paramyxoviridae"
"Molossus molossus-molossus molossus associated circovirus 1","Molossus molossus","molossus molossus associated circovirus 1","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus associated circovirus 2","Molossus molossus","molossus molossus associated circovirus 2","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus associated circovirus 3","Molossus molossus","molossus molossus associated circovirus 3","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus associated circovirus 4","Molossus molossus","molossus molossus associated circovirus 4","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus associated gemycircularvirus 1","Molossus molossus","molossus molossus associated gemycircularvirus 1","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemycircularvirus 2","Molossus molossus","molossus molossus associated gemycircularvirus 2","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemycircularvirus 3","Molossus molossus","molossus molossus associated gemycircularvirus 3","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemycircularvirus ansal 1","Molossus molossus","molossus molossus associated gemycircularvirus ansal 1","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemygorvirus 1","Molossus molossus","molossus molossus associated gemygorvirus 1","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemykibivirus 1","Molossus molossus","molossus molossus associated gemykibivirus 1","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemykibivirus 2","Molossus molossus","molossus molossus associated gemykibivirus 2","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemykibivirus 3","Molossus molossus","molossus molossus associated gemykibivirus 3","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemykibivirus 4","Molossus molossus","molossus molossus associated gemykibivirus 4","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemykibivirus 5","Molossus molossus","molossus molossus associated gemykibivirus 5","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated gemykronzavirus 1","Molossus molossus","molossus molossus associated gemykronzavirus 1","genomoviridae",0,"Molossus molossus-genomoviridae"
"Molossus molossus-molossus molossus associated porprismacovirus 1","Molossus molossus","molossus molossus associated porprismacovirus 1","smacoviridae",0,"Molossus molossus-smacoviridae"
"Molossus molossus-molossus molossus betaherpesvirus 1","Molossus molossus","molossus molossus betaherpesvirus 1","orthoherpesviridae",0,"Molossus molossus-orthoherpesviridae"
"Molossus molossus-molossus molossus bunyavirus","Molossus molossus","molossus molossus bunyavirus","peribunyaviridae",0,"Molossus molossus-peribunyaviridae"
"Molossus molossus-molossus molossus chaphamaparvovirus","Molossus molossus","molossus molossus chaphamaparvovirus","parvoviridae",0,"Molossus molossus-parvoviridae"
"Molossus molossus-molossus molossus circovirus 1","Molossus molossus","molossus molossus circovirus 1","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus circovirus 2","Molossus molossus","molossus molossus circovirus 2","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus circovirus 3","Molossus molossus","molossus molossus circovirus 3","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus circovirus 4","Molossus molossus","molossus molossus circovirus 4","circoviridae",0,"Molossus molossus-circoviridae"
"Molossus molossus-molossus molossus foamy virus 1","Molossus molossus","molossus molossus foamy virus 1","retroviridae",0,"Molossus molossus-retroviridae"
"Molossus molossus-molossus molossus gammaherpesvirus 1","Molossus molossus","molossus molossus gammaherpesvirus 1","orthoherpesviridae",0,"Molossus molossus-orthoherpesviridae"
"Molossus molossus-molossus molossus papillomavirus 1","Molossus molossus","molossus molossus papillomavirus 1","papillomaviridae",0,"Molossus molossus-papillomaviridae"
"Molossus molossus-molossus molossus papillomavirus type 2","Molossus molossus","molossus molossus papillomavirus type 2","papillomaviridae",0,"Molossus molossus-papillomaviridae"
"Molossus molossus-molussus totiviridae 1","Molossus molossus","molussus totiviridae 1","totiviridae",0,"Molossus molossus-totiviridae"
"Molossus molossus-molussus totiviridae 2","Molossus molossus","molussus totiviridae 2","totiviridae",0,"Molossus molossus-totiviridae"
"Molossus molossus-molussus totiviridae 3","Molossus molossus","molussus totiviridae 3","totiviridae",0,"Molossus molossus-totiviridae"
"Molossus molossus-molussus totiviridae 4","Molossus molossus","molussus totiviridae 4","totiviridae",0,"Molossus molossus-totiviridae"
"Molossus molossus-molussus totiviridae 5","Molossus molossus","molussus totiviridae 5","totiviridae",0,"Molossus molossus-totiviridae"
"Molossus molossus-orthobunyavirus catuense","Molossus molossus","orthobunyavirus catuense","peribunyaviridae",1,"Molossus molossus-peribunyaviridae"
"Molossus nigricans-alphavirus chikungunya","Molossus nigricans","alphavirus chikungunya","togaviridae",1,"Molossus nigricans-togaviridae"
"Molossus nigricans-orthoflavivirus denguei","Molossus nigricans","orthoflavivirus denguei","flaviviridae",1,"Molossus nigricans-flaviviridae"
"Molossus nigricans-orthoflavivirus zikaense","Molossus nigricans","orthoflavivirus zikaense","flaviviridae",1,"Molossus nigricans-flaviviridae"
"Molossus pretiosus-orthoflavivirus denguei","Molossus pretiosus","orthoflavivirus denguei","flaviviridae",1,"Molossus pretiosus-flaviviridae"
"Molossus rufus-bat coronavirus","Molossus rufus","bat coronavirus","coronaviridae",0,"Molossus rufus-coronaviridae"
"Molossus rufus-lyssavirus rabies","Molossus rufus","lyssavirus rabies","rhabdoviridae",1,"Molossus rufus-rhabdoviridae"
"Molossus rufus-molossid bat morbillivirus","Molossus rufus","molossid bat morbillivirus","paramyxoviridae",0,"Molossus rufus-paramyxoviridae"
"Molossus rufus-orthoflavivirus bravoense","Molossus rufus","orthoflavivirus bravoense","flaviviridae",0,"Molossus rufus-flaviviridae"
"Molossus rufus-orthoflavivirus denguei","Molossus rufus","orthoflavivirus denguei","flaviviridae",1,"Molossus rufus-flaviviridae"
"Molossus sinaloae-orthoflavivirus denguei","Molossus sinaloae","orthoflavivirus denguei","flaviviridae",1,"Molossus sinaloae-flaviviridae"
"Molossus sp.-alphacoronavirus sp.","Molossus sp.","alphacoronavirus sp.","coronaviridae",0,"Molossus sp.-coronaviridae"
"Molossus sp.-lyssavirus rabies","Molossus sp.","lyssavirus rabies","rhabdoviridae",1,"Molossus sp.-rhabdoviridae"
"Molossus sp.-molossus bat morbillivirus","Molossus sp.","molossus bat morbillivirus","paramyxoviridae",0,"Molossus sp.-paramyxoviridae"
"Mops condylurus-alphacoronavirus 1","Mops condylurus","alphacoronavirus 1","coronaviridae",1,"Mops condylurus-coronaviridae"
"Mops condylurus-alphacoronavirus sp.","Mops condylurus","alphacoronavirus sp.","coronaviridae",0,"Mops condylurus-coronaviridae"
"Mops condylurus-astrovirus sp.","Mops condylurus","astrovirus sp.","astroviridae",1,"Mops condylurus-astroviridae"
"Mops condylurus-bat calicivirus","Mops condylurus","bat calicivirus","caliciviridae",0,"Mops condylurus-caliciviridae"
"Mops condylurus-bat coronavirus","Mops condylurus","bat coronavirus","coronaviridae",0,"Mops condylurus-coronaviridae"
"Mops condylurus-bat mastadenovirus","Mops condylurus","bat mastadenovirus","adenoviridae",0,"Mops condylurus-adenoviridae"
"Mops condylurus-betacoronavirus rousetti","Mops condylurus","betacoronavirus rousetti","coronaviridae",0,"Mops condylurus-coronaviridae"
"Mops condylurus-chaerephon bat coronavirus","Mops condylurus","chaerephon bat coronavirus","coronaviridae",0,"Mops condylurus-coronaviridae"
"Mops condylurus-jeilongvirus murinae","Mops condylurus","jeilongvirus murinae","paramyxoviridae",0,"Mops condylurus-paramyxoviridae"
"Mops condylurus-kiwira virus","Mops condylurus","kiwira virus","hantaviridae",0,"Mops condylurus-hantaviridae"
"Mops condylurus-mops bat astrovirus","Mops condylurus","mops bat astrovirus","astroviridae",0,"Mops condylurus-astroviridae"
"Mops condylurus-mops bat calicivirus","Mops condylurus","mops bat calicivirus","caliciviridae",0,"Mops condylurus-caliciviridae"
